series	point	case	invocation	phase	round	messages	elapsed_ns	semantic_pass
socketpair-prototype	b	unconfined	2	measured	11	65536	23569616	1
socketpair-prototype	b	unconfined	2	measured	12	65536	23580427	1
socketpair-prototype	b	unconfined	2	measured	13	65536	23572443	1
socketpair-prototype	b	unconfined	2	measured	14	65536	23561690	1
socketpair-prototype	a2	unconfined	0	measured	0	65536	26743457	1
socketpair-prototype	a2	unconfined	0	measured	1	65536	26739242	1
socketpair-prototype	a2	unconfined	0	measured	2	65536	26726688	1
socketpair-prototype	a2	unconfined	0	measured	3	65536	26731421	1
socketpair-prototype	a2	unconfined	0	measured	4	65536	26726810	1
socketpair-prototype	a2	unconfined	0	measured	5	65536	26706133	1
socketpair-prototype	a2	unconfined	0	measured	6	65536	26730468	1
socketpair-prototype	a2	unconfined	0	measured	7	65536	26725736	1
socketpair-prototype	a2	unconfined	0	measured	8	65536	26748536	1
socketpair-prototype	a2	unconfined	0	measured	9	65536	26726251	1
socketpair-prototype	a2	unconfined	0	measured	10	65536	26739229	1
socketpair-prototype	a2	unconfined	0	measured	11	65536	26712975	1
socketpair-prototype	a2	unconfined	0	measured	12	65536	26718528	1
socketpair-prototype	a2	unconfined	0	measured	13	65536	26742553	1
socketpair-prototype	a2	unconfined	0	measured	14	65536	26838517	1
socketpair-prototype	a2	unconfined	1	measured	0	65536	26838935	1
socketpair-prototype	a2	unconfined	1	measured	1	65536	26833459	1
socketpair-prototype	a2	unconfined	1	measured	2	65536	26849031	1
socketpair-prototype	a2	unconfined	1	measured	3	65536	26826201	1
socketpair-prototype	a2	unconfined	1	measured	4	65536	26830618	1
socketpair-prototype	a2	unconfined	1	measured	5	65536	26845086	1
socketpair-prototype	a2	unconfined	1	measured	6	65536	26837175	1
socketpair-prototype	a2	unconfined	1	measured	7	65536	26836768	1
socketpair-prototype	a2	unconfined	1	measured	8	65536	26835965	1
socketpair-prototype	a2	unconfined	1	measured	9	65536	26854144	1
socketpair-prototype	a2	unconfined	1	measured	10	65536	26853860	1
socketpair-prototype	a2	unconfined	1	measured	11	65536	26842184	1
socketpair-prototype	a2	unconfined	1	measured	12	65536	26835072	1
socketpair-prototype	a2	unconfined	1	measured	13	65536	26837949	1
socketpair-prototype	a2	unconfined	1	measured	14	65536	26844643	1
socketpair-prototype	a2	unconfined	2	measured	0	65536	26778744	1
socketpair-prototype	a2	unconfined	2	measured	1	65536	26777465	1
socketpair-prototype	a2	unconfined	2	measured	2	65536	26782639	1
socketpair-prototype	a2	unconfined	2	measured	3	65536	26775984	1
socketpair-prototype	a2	unconfined	2	measured	4	65536	26779554	1
socketpair-prototype	a2	unconfined	2	measured	5	65536	26804323	1
socketpair-prototype	a2	unconfined	2	measured	6	65536	26782583	1
socketpair-prototype	a2	unconfined	2	measured	7	65536	26783356	1
socketpair-prototype	a2	unconfined	2	measured	8	65536	26777611	1
socketpair-prototype	a2	unconfined	2	measured	9	65536	26766097	1
socketpair-prototype	a2	unconfined	2	measured	10	65536	26772782	1
socketpair-prototype	a2	unconfined	2	measured	11	65536	26777744	1
socketpair-prototype	a2	unconfined	2	measured	12	65536	26778491	1
socketpair-prototype	a2	unconfined	2	measured	13	65536	26801529	1
socketpair-prototype	a2	unconfined	2	measured	14	65536	26764080	1
two-process-prototype	a	unconfined	0	warmup	0	65536	31884249	1
two-process-prototype	a	unconfined	0	warmup	1	65536	31643737	1
two-process-prototype	a	unconfined	0	warmup	2	65536	29875787	1
two-process-prototype	a	unconfined	0	measured	3	65536	29862241	1
two-process-prototype	a	unconfined	0	measured	4	65536	29902757	1
two-process-prototype	a	unconfined	0	measured	5	65536	29996337	1
two-process-prototype	a	unconfined	0	measured	6	65536	29955484	1
two-process-prototype	a	unconfined	0	measured	7	65536	30012530	1
two-process-prototype	a	unconfined	0	measured	8	65536	30007857	1
two-process-prototype	a	unconfined	0	measured	9	65536	29979676	1
two-process-prototype	a	unconfined	0	measured	10	65536	29988756	1
two-process-prototype	a	unconfined	0	measured	11	65536	29991464	1
two-process-prototype	a	unconfined	0	measured	12	65536	29994452	1
two-process-prototype	a	unconfined	0	measured	13	65536	30021037	1
two-process-prototype	a	unconfined	0	measured	14	65536	29993446	1
two-process-prototype	a	unconfined	0	measured	15	65536	30001993	1
two-process-prototype	a	unconfined	0	measured	16	65536	30003876	1
two-process-prototype	a	unconfined	0	measured	17	65536	30001904	1
two-process-prototype	a	sender-confined	0	warmup	0	65536	37313835	1
two-process-prototype	a	sender-confined	0	warmup	1	65536	37307233	1
two-process-prototype	a	sender-confined	0	warmup	2	65536	37302694	1
two-process-prototype	a	sender-confined	0	measured	3	65536	37324284	1
two-process-prototype	a	sender-confined	0	measured	4	65536	37311532	1
two-process-prototype	a	sender-confined	0	measured	5	65536	37282305	1
two-process-prototype	a	sender-confined	0	measured	6	65536	37305142	1
two-process-prototype	a	sender-confined	0	measured	7	65536	37289888	1
two-process-prototype	a	sender-confined	0	measured	8	65536	37290848	1
two-process-prototype	a	sender-confined	0	measured	9	65536	37288835	1
two-process-prototype	a	sender-confined	0	measured	10	65536	37299816	1
two-process-prototype	a	sender-confined	0	measured	11	65536	37321395	1
two-process-prototype	a	sender-confined	0	measured	12	65536	37334670	1
two-process-prototype	a	sender-confined	0	measured	13	65536	37312039	1
two-process-prototype	a	sender-confined	0	measured	14	65536	37338925	1
two-process-prototype	a	sender-confined	0	measured	15	65536	37360539	1
two-process-prototype	a	sender-confined	0	measured	16	65536	37352110	1
two-process-prototype	a	sender-confined	0	measured	17	65536	37330913	1
two-process-prototype	a	receiver-confined	0	warmup	0	65536	37990130	1
two-process-prototype	a	receiver-confined	0	warmup	1	65536	37977485	1
two-process-prototype	a	receiver-confined	0	warmup	2	65536	37990580	1
two-process-prototype	a	receiver-confined	0	measured	3	65536	37968610	1
two-process-prototype	a	receiver-confined	0	measured	4	65536	37969009	1
two-process-prototype	a	receiver-confined	0	measured	5	65536	37969923	1
two-process-prototype	a	receiver-confined	0	measured	6	65536	37952196	1
two-process-prototype	a	receiver-confined	0	measured	7	65536	37957432	1
two-process-prototype	a	receiver-confined	0	measured	8	65536	37960274	1
two-process-prototype	a	receiver-confined	0	measured	9	65536	37979755	1
two-process-prototype	a	receiver-confined	0	measured	10	65536	37962521	1
two-process-prototype	a	receiver-confined	0	measured	11	65536	37974572	1
two-process-prototype	a	receiver-confined	0	measured	12	65536	37966368	1
two-process-prototype	a	receiver-confined	0	measured	13	65536	37982904	1
two-process-prototype	a	receiver-confined	0	measured	14	65536	37973529	1
two-process-prototype	a	receiver-confined	0	measured	15	65536	37985122	1
two-process-prototype	a	receiver-confined	0	measured	16	65536	37977347	1
two-process-prototype	a	receiver-confined	0	measured	17	65536	37981604	1
two-process-prototype	a	both-confined	0	warmup	0	65536	48572406	1
two-process-prototype	a	both-confined	0	warmup	1	65536	48559291	1
two-process-prototype	a	both-confined	0	warmup	2	65536	48537207	1
two-process-prototype	a	both-confined	0	measured	3	65536	48525539	1
two-process-prototype	a	both-confined	0	measured	4	65536	48524925	1
two-process-prototype	a	both-confined	0	measured	5	65536	48525850	1
two-process-prototype	a	both-confined	0	measured	6	65536	48533822	1
two-process-prototype	a	both-confined	0	measured	7	65536	48526852	1
two-process-prototype	a	both-confined	0	measured	8	65536	48533740	1
two-process-prototype	a	both-confined	0	measured	9	65536	48534032	1
two-process-prototype	a	both-confined	0	measured	10	65536	48525261	1
two-process-prototype	a	both-confined	0	measured	11	65536	48512394	1
two-process-prototype	a	both-confined	0	measured	12	65536	48541031	1
two-process-prototype	a	both-confined	0	measured	13	65536	48555913	1
two-process-prototype	a	both-confined	0	measured	14	65536	48542697	1
two-process-prototype	a	both-confined	0	measured	15	65536	48531948	1
two-process-prototype	a	both-confined	0	measured	16	65536	48513731	1
two-process-prototype	a	both-confined	0	measured	17	65536	48525632	1
two-process-prototype	a	unconfined	1	warmup	0	65536	29934969	1
two-process-prototype	a	unconfined	1	warmup	1	65536	29904220	1
two-process-prototype	a	unconfined	1	warmup	2	65536	29918123	1
two-process-prototype	a	unconfined	1	measured	3	65536	29933105	1
two-process-prototype	a	unconfined	1	measured	4	65536	29928643	1
two-process-prototype	a	unconfined	1	measured	5	65536	29928473	1
two-process-prototype	a	unconfined	1	measured	6	65536	29947742	1
two-process-prototype	a	unconfined	1	measured	7	65536	29937349	1
two-process-prototype	a	unconfined	1	measured	8	65536	29919856	1
two-process-prototype	a	unconfined	1	measured	9	65536	29906414	1
two-process-prototype	a	unconfined	1	measured	10	65536	29886014	1
two-process-prototype	a	unconfined	1	measured	11	65536	29901561	1
two-process-prototype	a	unconfined	1	measured	12	65536	29953803	1
two-process-prototype	a	unconfined	1	measured	13	65536	29878200	1
two-process-prototype	a	unconfined	1	measured	14	65536	29913742	1
two-process-prototype	a	unconfined	1	measured	15	65536	29935834	1
two-process-prototype	a	unconfined	1	measured	16	65536	29914026	1
two-process-prototype	a	unconfined	1	measured	17	65536	29920777	1
two-process-prototype	a	sender-confined	1	warmup	0	65536	37354762	1
two-process-prototype	a	sender-confined	1	warmup	1	65536	37365734	1
two-process-prototype	a	sender-confined	1	warmup	2	65536	37388516	1
two-process-prototype	a	sender-confined	1	measured	3	65536	37382999	1
two-process-prototype	a	sender-confined	1	measured	4	65536	37370728	1
two-process-prototype	a	sender-confined	1	measured	5	65536	37404069	1
two-process-prototype	a	sender-confined	1	measured	6	65536	37465257	1
two-process-prototype	a	sender-confined	1	measured	7	65536	37388820	1
two-process-prototype	a	sender-confined	1	measured	8	65536	37377421	1
two-process-prototype	a	sender-confined	1	measured	9	65536	37401219	1
two-process-prototype	a	sender-confined	1	measured	10	65536	37393937	1
two-process-prototype	a	sender-confined	1	measured	11	65536	37384312	1
two-process-prototype	a	sender-confined	1	measured	12	65536	37419835	1
two-process-prototype	a	sender-confined	1	measured	13	65536	37421211	1
two-process-prototype	a	sender-confined	1	measured	14	65536	37405512	1
two-process-prototype	a	sender-confined	1	measured	15	65536	37428085	1
two-process-prototype	a	sender-confined	1	measured	16	65536	37398138	1
two-process-prototype	a	sender-confined	1	measured	17	65536	37405369	1
two-process-prototype	a	receiver-confined	1	warmup	0	65536	37541614	1
two-process-prototype	a	receiver-confined	1	warmup	1	65536	37520321	1
two-process-prototype	a	receiver-confined	1	warmup	2	65536	37522524	1
two-process-prototype	a	receiver-confined	1	measured	3	65536	37538324	1
two-process-prototype	a	receiver-confined	1	measured	4	65536	37538777	1
two-process-prototype	a	receiver-confined	1	measured	5	65536	37553568	1
two-process-prototype	a	receiver-confined	1	measured	6	65536	37537149	1
two-process-prototype	a	receiver-confined	1	measured	7	65536	37539102	1
two-process-prototype	a	receiver-confined	1	measured	8	65536	37532965	1
two-process-prototype	a	receiver-confined	1	measured	9	65536	37535442	1
two-process-prototype	a	receiver-confined	1	measured	10	65536	37530652	1
two-process-prototype	a	receiver-confined	1	measured	11	65536	37528737	1
two-process-prototype	a	receiver-confined	1	measured	12	65536	37524641	1
two-process-prototype	a	receiver-confined	1	measured	13	65536	37527818	1
two-process-prototype	a	receiver-confined	1	measured	14	65536	37544181	1
two-process-prototype	a	receiver-confined	1	measured	15	65536	37527305	1
two-process-prototype	a	receiver-confined	1	measured	16	65536	37555343	1
two-process-prototype	a	receiver-confined	1	measured	17	65536	37526520	1
two-process-prototype	a	both-confined	1	warmup	0	65536	48630242	1
two-process-prototype	a	both-confined	1	warmup	1	65536	48597516	1
two-process-prototype	a	both-confined	1	warmup	2	65536	48613692	1
two-process-prototype	a	both-confined	1	measured	3	65536	48607901	1
two-process-prototype	a	both-confined	1	measured	4	65536	48654710	1
two-process-prototype	a	both-confined	1	measured	5	65536	48655985	1
two-process-prototype	a	both-confined	1	measured	6	65536	48611807	1
two-process-prototype	a	both-confined	1	measured	7	65536	48616239	1
two-process-prototype	a	both-confined	1	measured	8	65536	48624819	1
two-process-prototype	a	both-confined	1	measured	9	65536	48607594	1
two-process-prototype	a	both-confined	1	measured	10	65536	48615796	1
two-process-prototype	a	both-confined	1	measured	11	65536	48625820	1
two-process-prototype	a	both-confined	1	measured	12	65536	48605921	1
two-process-prototype	a	both-confined	1	measured	13	65536	48612346	1
two-process-prototype	a	both-confined	1	measured	14	65536	48624933	1
two-process-prototype	a	both-confined	1	measured	15	65536	48633524	1
two-process-prototype	a	both-confined	1	measured	16	65536	48633033	1
two-process-prototype	a	both-confined	1	measured	17	65536	48618369	1
two-process-prototype	a	unconfined	2	warmup	0	65536	29670133	1
two-process-prototype	a	unconfined	2	warmup	1	65536	29677823	1
two-process-prototype	a	unconfined	2	warmup	2	65536	29647500	1
two-process-prototype	a	unconfined	2	measured	3	65536	29648157	1
two-process-prototype	a	unconfined	2	measured	4	65536	29660364	1
two-process-prototype	a	unconfined	2	measured	5	65536	29674841	1
two-process-prototype	a	unconfined	2	measured	6	65536	29638421	1
two-process-prototype	a	unconfined	2	measured	7	65536	29653756	1
two-process-prototype	a	unconfined	2	measured	8	65536	29648619	1
two-process-prototype	a	unconfined	2	measured	9	65536	29643328	1
two-process-prototype	a	unconfined	2	measured	10	65536	29641020	1
two-process-prototype	a	unconfined	2	measured	11	65536	29678540	1
two-process-prototype	a	unconfined	2	measured	12	65536	29683749	1
two-process-prototype	a	unconfined	2	measured	13	65536	29662884	1
two-process-prototype	a	unconfined	2	measured	14	65536	29672944	1
