slot	kernel_release	boot_id	cmdline_preempt	build_preempt	actual_preempt	manifest_sha256	binary_sha256	source_sha256
old-a	6.12.0-rc4-nop-a85-p-aa00f67adc2c-xxxxxxxxxxxx	cce78a13-d860-44fb-8b65-0ff29954fc4b	full	dynamic	full	5bac177f22a6c32740e1bc46eb4c0e26544591a990d5bfb6e194ea29a0cc5c02	b98eebb811d649324eda4c131484c94b36571b3d4d57f7da205a963eb506cd93	26c1684216d50bed3b2419ccdf1e0f5e7d49a523809aa5c974c90f232a91574a
new	6.12.0-rc4-nop-a85-c-a85f31052bce-xxxxxxxxxxxx	7b898b5b-e442-4776-9d73-0db7b44d3baf	full	dynamic	full	ff7bd6b09a906e60fc3fb251eac402a85683555363ec5c8a478785cdd35f1297	b98eebb811d649324eda4c131484c94b36571b3d4d57f7da205a963eb506cd93	26c1684216d50bed3b2419ccdf1e0f5e7d49a523809aa5c974c90f232a91574a
old-b	6.12.0-rc4-nop-a85-p-aa00f67adc2c-xxxxxxxxxxxx	1ceb429a-26a0-445a-8edd-f4bc14d19268	full	dynamic	full	5bac177f22a6c32740e1bc46eb4c0e26544591a990d5bfb6e194ea29a0cc5c02	b98eebb811d649324eda4c131484c94b36571b3d4d57f7da205a963eb506cd93	26c1684216d50bed3b2419ccdf1e0f5e7d49a523809aa5c974c90f232a91574a
