order	point	role	commit	n	mean_iteration_ns_per_page	sd	cv_pct	values	semantic_failures
1	baseline-a	baseline	89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a	15	56.933333	0.457738	0.803989	56 57 56 57 57 57 57 57 58 57 57 57 57 57 57	0
2	candidate	candidate	199c9959d3a9b53f346c221757fc7ac507fbac50	15	47.133333	0.516398	1.095611	46 48 47 47 47 47 47 47 47 48 48 47 47 47 47	0
3	baseline-b	baseline	89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a	15	57.133333	0.516398	0.903847	56 58 58 57 57 57 57 57 57 57 57 57 57 57 58	0
