order	point	role	commit	n	mean_iteration_ns_per_page	sd	cv_pct	values	semantic_failures
1	parent-a	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	15	38.733333	0.593617	1.532574	37 39 39 39 39 39 39 39 39 39 38 39 39 39 38	0
2	child-a	child	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	52.933333	0.593617	1.121442	52 52 53 53 53 52 53 54 53 53 53 53 53 53 54	0
3	fastpath-a	fastpath	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	46.800000	0.414039	0.884699	46 47 47 47 47 47 46 47 47 46 47 47 47 47 47	0
4	folioonly-a	folioonly	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	46.933333	0.258199	0.550140	46 47 47 47 47 47 47 47 47 47 47 47 47 47 47	0
5	nofolio	nofolio	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	40.600000	0.632456	1.557772	40 40 42 41 40 41 40 41 41 41 40 41 40 41 40	0
6	folioonly-b	folioonly	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	46.866667	0.351866	0.750780	46 47 47 47 47 47 47 47 47 47 47 47 47 47 46	0
7	fastpath-b	fastpath	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	46.933333	0.258199	0.550140	46 47 47 47 47 47 47 47 47 47 47 47 47 47 47	0
8	child-b	child	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	53.000000	0.377964	0.713141	52 53 53 53 53 53 53 53 53 54 53 53 53 53 53	0
9	parent-b	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	15	38.866667	0.516398	1.328639	37 39 39 39 39 39 39 39 39 39 39 39 39 39 39	0
