slot	profile	round	attempts	cancel_ok	cancel_enoent	original_cqes	unexpected_cqes	bad_results	timeouts	outstanding	timed_ns	ns_per_attempt	cpu	semantic_pass
parent-b	a0_miss	3	2048	0	2048	2048	0	0	0	0	294937	144.012207	2	1
parent-b	a0_miss	4	2048	0	2048	2048	0	0	0	0	292658	142.899414	2	1
parent-b	a0_miss	5	2048	0	2048	2048	0	0	0	0	293852	143.482422	2	1
parent-b	a0_miss	6	2048	0	2048	2048	0	0	0	0	295293	144.186035	2	1
parent-b	a0_miss	7	2048	0	2048	2048	0	0	0	0	292136	142.644531	2	1
parent-b	a0_miss	8	2048	0	2048	2048	0	0	0	0	293119	143.124512	2	1
parent-b	a0_miss	9	2048	0	2048	2048	0	0	0	0	292498	142.821289	2	1
parent-b	a0_miss	10	2048	0	2048	2048	0	0	0	0	292562	142.852539	2	1
parent-b	a0_miss	11	2048	0	2048	2048	0	0	0	0	292090	142.622070	2	1
parent-b	a0_miss	12	2048	0	2048	2048	0	0	0	0	292590	142.866211	2	1
parent-b	a0_miss	13	2048	0	2048	2048	0	0	0	0	292752	142.945312	2	1
parent-b	a0_miss	14	2048	0	2048	2048	0	0	0	0	293284	143.205078	2	1
parent-b	a0_hit	0	2048	2048	0	2048	0	0	0	0	268790	131.245117	2	1
parent-b	a0_hit	1	2048	2048	0	2048	0	0	0	0	266189	129.975098	2	1
parent-b	a0_hit	2	2048	2048	0	2048	0	0	0	0	266265	130.012207	2	1
parent-b	a0_hit	3	2048	2048	0	2048	0	0	0	0	268013	130.865723	2	1
parent-b	a0_hit	4	2048	2048	0	2048	0	0	0	0	266866	130.305664	2	1
parent-b	a0_hit	5	2048	2048	0	2048	0	0	0	0	268720	131.210938	2	1
parent-b	a0_hit	6	2048	2048	0	2048	0	0	0	0	266438	130.096680	2	1
parent-b	a0_hit	7	2048	2048	0	2048	0	0	0	0	266627	130.188965	2	1
parent-b	a0_hit	8	2048	2048	0	2048	0	0	0	0	266125	129.943848	2	1
parent-b	a0_hit	9	2048	2048	0	2048	0	0	0	0	266249	130.004395	2	1
parent-b	a0_hit	10	2048	2048	0	2048	0	0	0	0	266034	129.899414	2	1
parent-b	a0_hit	11	2048	2048	0	2048	0	0	0	0	266931	130.337402	2	1
parent-b	a0_hit	12	2048	2048	0	2048	0	0	0	0	270491	132.075684	2	1
parent-b	a0_hit	13	2048	2048	0	2048	0	0	0	0	266505	130.129395	2	1
parent-b	a0_hit	14	2048	2048	0	2048	0	0	0	0	268103	130.909668	2	1
