point	kernel_release	boot_id	failed_units	measured_rows	semantic_failures
baseline-a	7.1.3-mprotect-pv3-full-89e613bc0b2d	e40481dd-2b09-47ac-ba38-78bbf3bbbb75	0	15	0
candidate	7.1.3-mprotect-hint-one-000000000000	3a7f3312-a3f9-420c-b549-bcedab4e9603	0	15	0
baseline-b	7.1.3-mprotect-pv3-full-89e613bc0b2d	9ff89381-f91f-4c6a-aa83-c5ca7c1d0a2d	0	15	0
