analysis	baseline_a	candidate	baseline_b	baseline_midpoint	candidate_vs_midpoint_pct	baseline_drift_pct
all_15_rounds	23.000000	38.133333	23.000000	23.000000	65.797101	0.000000
drop_first_round	23.000000	38.142857	23.000000	23.000000	65.838509	0.000000
