point	kernel_release	boot_id	failed_units	measured_rows	semantic_failures
large-baseline-a	7.1.3-mprotect-pv3-full-89e613bc0b2d	abe8d2fa-bf9b-47c5-aad3-58b46d678d06	0	15	0
large-candidate	7.1.3-mprotect-hint-one-000000000000	1c274d14-b68e-4f0b-905b-06a4a5afd580	0	15	0
large-baseline-b	7.1.3-mprotect-pv3-full-89e613bc0b2d	642ebb94-d987-4776-abf5-9cdaf3d7d222	0	15	0
