slot	role	commit	kernel_release	boot_id	runtime_build_id	cmdline_preempt	build_preempt	actual_preempt	manifest_sha256	formal_binary_sha256
parent-a	good	816095894c0f44aaba4372d92c874121af687596	6.19.0-rc3-iofx6e0-good-816095894c0f-xxxxxxxxxx+	e93c0b2f-6caa-4d5a-8000-2d51127c81e2	14a813ba92d08343ac9d21a0db404018ab948c68	none	dynamic	full	6f4e718b26998fbad836239c04054934fdd81b3938ddfa11a672321d638d98e0	225e5aa2d8d6d3d2c3b9cdbd17abaa2d8549ded6e08632a27bb42b7a39af1fbe
child	bad	6e0d71c288fdcf5866f5d0c6cde850a091cc3c55	6.19.0-rc3-iofx6e0-bad-6e0d71c288fd-xxxxxxxxxxx+	8e6af40c-6802-45c7-8d30-53fa9ae617e4	129afa433f4e8cac59f63dd01aeec0466a7eccc1	none	dynamic	full	4c2859360b2bb53a37efabc3b61fcb657fd4cc3439ad20519907a4c675bb702f	225e5aa2d8d6d3d2c3b9cdbd17abaa2d8549ded6e08632a27bb42b7a39af1fbe
parent-b	good	816095894c0f44aaba4372d92c874121af687596	6.19.0-rc3-iofx6e0-good-816095894c0f-xxxxxxxxxx+	ec72ed7e-5ab5-4563-8f0c-1409506b8654	14a813ba92d08343ac9d21a0db404018ab948c68	none	dynamic	full	6f4e718b26998fbad836239c04054934fdd81b3938ddfa11a672321d638d98e0	225e5aa2d8d6d3d2c3b9cdbd17abaa2d8549ded6e08632a27bb42b7a39af1fbe
