round	protect_ns_per_page	restore_ns_per_page	post_touch_ns_per_page	iteration_ns_per_page	expected_match_ratio	unexpected_results	kernel_page_kb	mmu_page_kb	anon_huge_kb
1	17	17	11	46	100	0	4	4	0
2	17	17	12	47	100	0	4	4	0
3	17	17	12	47	100	0	4	4	0
4	17	17	12	47	100	0	4	4	0
5	17	17	12	47	100	0	4	4	0
6	17	17	12	47	100	0	4	4	0
7	17	17	12	47	100	0	4	4	0
8	17	17	12	47	100	0	4	4	0
9	17	17	12	47	100	0	4	4	0
10	17	17	12	47	100	0	4	4	0
11	17	17	12	47	100	0	4	4	0
12	17	17	12	47	100	0	4	4	0
13	17	17	12	47	100	0	4	4	0
14	17	17	12	47	100	0	4	4	0
15	17	17	11	46	100	0	4	4	0
