analysis	parent_a_mean	child_mean	parent_b_mean	parent_midpoint	child_vs_parent_midpoint_pct	parent_b_vs_parent_a_pct
all_15_rounds	38.133333	53.533333	38.466667	38.300000	39.773716	0.874126
drop_first_round	38.214286	53.571429	38.571429	38.392857	39.534884	0.934579
