order	point	role	commit	n	mean_iteration_ns_per_page	sd	cv_pct	values	semantic_failures
1	parent-a	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	15	38.133333	0.743223	1.949012	37 38 38 38 39 37 39 37 38 39 38 38 39 39 38	0
2	child	child	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	15	53.533333	0.516398	0.964628	53 53 54 53 53 54 54 54 53 54 53 53 54 54 54	0
3	parent-b	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	15	38.466667	0.639940	1.663623	37 39 38 39 38 39 38 39 38 39 39 39 38 39 38	0
