role	change_pte_range_size_hex	change_pte_range_objdump_sha256	vm_normal_page_symbol	mprotect_folio_pte_batch_symbol
baseline	0000000000000fc6	103ab7360383178f121fb91fb0b66f5eed5434354644c34cca0439e540853ad8	T	t
candidate	00000000000010f6	181c1a30074705fca89ea903082952ca7067b0970a9f25a2f8e1d95c00b18049	T	t
