experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r1	notify-A	original-cb0	7	128	16	21197.734375	9525.3515625
exact-r1	notify-A	original-cb0	8	128	16	21110.640625	9623.0859375
exact-r1	notify-A	original-cb0	9	128	16	21132.3515625	9562
exact-r1	notify-A	original-cb1	1	128	16	21133.84375	9549.4609375
exact-r1	notify-A	original-cb1	2	128	16	21179.4375	9626.8828125
exact-r1	notify-A	original-cb1	3	128	16	20972.234375	9744.078125
exact-r1	notify-A	original-cb1	4	128	16	21102.3984375	9578.859375
exact-r1	notify-A	original-cb1	5	128	16	21248.75	9585.6015625
exact-r1	notify-A	original-cb1	6	128	16	21234.578125	9520.1953125
exact-r1	notify-A	original-cb1	7	128	16	21193.6953125	9560.34375
exact-r1	notify-A	original-cb1	8	128	16	21063.140625	9601.828125
exact-r1	notify-A	original-cb1	9	128	16	21351.2421875	9666.5859375
exact-r1	notify-A	control-scx	1	128	16	21008.9609375	9748.8125
exact-r1	notify-A	control-scx	2	128	16	21107.8125	9606.90625
exact-r1	notify-A	control-scx	3	128	16	21080.1640625	9560.1171875
exact-r1	notify-A	control-scx	4	128	16	21317.140625	9569.421875
exact-r1	notify-A	control-scx	5	128	16	21036.6015625	9550.15625
exact-r1	notify-A	control-scx	6	128	16	21026.5234375	9556.0234375
exact-r1	notify-A	control-scx	7	128	16	21034.71875	9676.96875
exact-r1	notify-A	control-scx	8	128	16	21182.4765625	9579.6875
exact-r1	notify-A	control-scx	9	128	16	21009.0625	9546.84375
exact-r1	notify-A	control-disabled	1	128	16	20954.6875	9488.2890625
exact-r1	notify-A	control-disabled	2	128	16	21103.921875	9597.375
exact-r1	notify-A	control-disabled	3	128	16	21111.265625	9483.2109375
exact-r1	notify-A	control-disabled	4	128	16	21018.34375	9477.90625
exact-r1	notify-A	control-disabled	5	128	16	21081.234375	9655.15625
exact-r1	notify-A	control-disabled	6	128	16	20790.7734375	9597.3671875
exact-r1	notify-A	control-disabled	7	128	16	20895.078125	9538.9375
exact-r1	notify-A	control-disabled	8	128	16	21106.3125	9549.96875
exact-r1	notify-A	control-disabled	9	128	16	20794.8359375	9528.078125
exact-r1	notify-B	original-cb0	1	128	16	22019.734375	10099.46875
exact-r1	notify-B	original-cb0	2	128	16	21708.3671875	9720.734375
exact-r1	notify-B	original-cb0	3	128	16	21435.2734375	9597.4609375
exact-r1	notify-B	original-cb0	4	128	16	21626.875	9599.734375
exact-r1	notify-B	original-cb0	5	128	16	21244.3828125	9599.796875
exact-r1	notify-B	original-cb0	6	128	16	21789.3828125	9648.90625
exact-r1	notify-B	original-cb0	7	128	16	21695.1953125	9744.4609375
exact-r1	notify-B	original-cb0	8	128	16	21546.890625	9673.796875
exact-r1	notify-B	original-cb0	9	128	16	21311.703125	9559.078125
exact-r1	notify-B	original-cb1	1	128	16	21278.0625	9567.609375
