experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r2	guard-B	control-disabled	5	128	16	21184.296875	6922.25
exact-r2	guard-B	control-disabled	6	128	16	21285.8046875	6886.6171875
exact-r2	guard-B	control-disabled	7	128	16	21315.609375	6963.1875
exact-r2	guard-B	control-disabled	8	128	16	21198.7109375	6942.4296875
exact-r2	guard-B	control-disabled	9	128	16	21444.53125	6926.921875
exact-r2	base-B	original-cb0	1	128	16	22281.7265625	6548.71875
exact-r2	base-B	original-cb0	2	128	16	21215.109375	6540.3125
exact-r2	base-B	original-cb0	3	128	16	21319.890625	6524.2734375
exact-r2	base-B	original-cb0	4	128	16	21222.4140625	6512.234375
exact-r2	base-B	original-cb0	5	128	16	21010	6499.953125
exact-r2	base-B	original-cb0	6	128	16	21434.5078125	6593.578125
exact-r2	base-B	original-cb0	7	128	16	21170.0546875	6580.6328125
exact-r2	base-B	original-cb0	8	128	16	21651.28125	6560.6328125
exact-r2	base-B	original-cb0	9	128	16	21216.359375	6595.796875
exact-r2	base-B	original-cb1	1	128	16	21129.7890625	6487.7890625
exact-r2	base-B	original-cb1	2	128	16	21016.2578125	6542.5078125
exact-r2	base-B	original-cb1	3	128	16	21202.203125	6484.9453125
exact-r2	base-B	original-cb1	4	128	16	21032.4140625	6524.28125
exact-r2	base-B	original-cb1	5	128	16	21150.2734375	6531.765625
exact-r2	base-B	original-cb1	6	128	16	21316.328125	6565.2265625
exact-r2	base-B	original-cb1	7	128	16	20982.640625	6555.1953125
exact-r2	base-B	original-cb1	8	128	16	21124.6640625	6546.71875
exact-r2	base-B	original-cb1	9	128	16	21264.5234375	6581.046875
exact-r2	base-B	control-scx	1	128	16	21098.1015625	6521.125
exact-r2	base-B	control-scx	2	128	16	20956.6171875	6511.34375
exact-r2	base-B	control-scx	3	128	16	20976.921875	6530.890625
exact-r2	base-B	control-scx	4	128	16	21098.9296875	6537.0234375
exact-r2	base-B	control-scx	5	128	16	21040.21875	6542.34375
exact-r2	base-B	control-scx	6	128	16	21185.5234375	6547.046875
exact-r2	base-B	control-scx	7	128	16	20965.734375	6556.2734375
exact-r2	base-B	control-scx	8	128	16	21328.34375	6569.625
exact-r2	base-B	control-scx	9	128	16	21094.65625	6525.765625
exact-r2	base-B	control-disabled	1	128	16	20888.65625	6485.7109375
exact-r2	base-B	control-disabled	2	128	16	21120.171875	6555.28125
exact-r2	base-B	control-disabled	3	128	16	21098.28125	6527.515625
exact-r2	base-B	control-disabled	4	128	16	21127.0859375	6549.703125
exact-r2	base-B	control-disabled	5	128	16	20902.6171875	6487.515625
exact-r2	base-B	control-disabled	6	128	16	20800.6171875	6563.1171875
exact-r2	base-B	control-disabled	7	128	16	21034.4453125	6621.921875
exact-r2	base-B	control-disabled	8	128	16	20810.734375	6482.1796875
exact-r2	base-B	control-disabled	9	128	16	21100.921875	6488.890625
root-reuse-r1	notify-A	original-cb0	1	128	16	22171.9609375	9546.625
root-reuse-r1	notify-A	original-cb0	2	128	16	21219.484375	9645.4609375
root-reuse-r1	notify-A	original-cb0	3	128	16	21139.3671875	9824.6875
root-reuse-r1	notify-A	original-cb0	4	128	16	21071.8671875	9621.5703125
root-reuse-r1	notify-A	original-cb0	5	128	16	21061.1796875	9518.921875
root-reuse-r1	notify-A	original-cb0	6	128	16	21034.796875	9705.046875
root-reuse-r1	notify-A	original-cb0	7	128	16	21169.6015625	9648.984375
root-reuse-r1	notify-A	original-cb0	8	128	16	21209.7109375	9585.3671875
root-reuse-r1	notify-A	original-cb0	9	128	16	21123.1484375	9543.2890625
root-reuse-r1	notify-A	original-cb1	1	128	16	21055.25	9552.90625
root-reuse-r1	notify-A	original-cb1	2	128	16	21113.0625	9675.75
root-reuse-r1	notify-A	original-cb1	3	128	16	21464.6484375	9604.609375
root-reuse-r1	notify-A	original-cb1	4	128	16	20858.140625	9527.2734375
root-reuse-r1	notify-A	original-cb1	5	128	16	21139.8671875	9775.578125
root-reuse-r1	notify-A	original-cb1	6	128	16	20967.078125	9593.78125
root-reuse-r1	notify-A	original-cb1	7	128	16	21145.7734375	9505.1953125
root-reuse-r1	notify-A	original-cb1	8	128	16	20941.5703125	9588.640625
root-reuse-r1	notify-A	original-cb1	9	128	16	21211.6796875	9649.9375
root-reuse-r1	notify-A	control-scx	1	128	16	21339.046875	9592.1328125
root-reuse-r1	notify-A	control-scx	2	128	16	20823.890625	9658.6875
root-reuse-r1	notify-A	control-scx	3	128	16	21020.9140625	9543.1015625
root-reuse-r1	notify-A	control-scx	4	128	16	21209.34375	9648.34375
root-reuse-r1	notify-A	control-scx	5	128	16	21061.671875	9570.7109375
root-reuse-r1	notify-A	control-scx	6	128	16	21069.3515625	9525.8046875
root-reuse-r1	notify-A	control-scx	7	128	16	21009.234375	9542.640625
root-reuse-r1	notify-A	control-scx	8	128	16	21178.5	9714.3203125
root-reuse-r1	notify-A	control-scx	9	128	16	21064.28125	9625.1328125
root-reuse-r1	notify-A	control-disabled	1	128	16	21096.734375	9513.90625
root-reuse-r1	notify-A	control-disabled	2	128	16	20917.9609375	9578.0234375
root-reuse-r1	notify-A	control-disabled	3	128	16	21010.921875	9543.9296875
root-reuse-r1	notify-A	control-disabled	4	128	16	21210.9375	9519.4140625
root-reuse-r1	notify-A	control-disabled	5	128	16	20947.6640625	9614.3046875
root-reuse-r1	notify-A	control-disabled	6	128	16	20880.421875	9552.765625
root-reuse-r1	notify-A	control-disabled	7	128	16	21052.5859375	9508.3671875
root-reuse-r1	notify-A	control-disabled	8	128	16	20856.03125	9511.5703125
root-reuse-r1	notify-A	control-disabled	9	128	16	20907.796875	9537.3984375
root-reuse-r1	prototype-A	original-cb0	1	128	16	22849.1953125	9180.71875
root-reuse-r1	prototype-A	original-cb0	2	128	16	21533.390625	9208.5703125
root-reuse-r1	prototype-A	original-cb0	3	128	16	21405.1484375	9253.171875
root-reuse-r1	prototype-A	original-cb0	4	128	16	21433.8046875	9228.5546875
root-reuse-r1	prototype-A	original-cb0	5	128	16	21190.125	9151.171875
root-reuse-r1	prototype-A	original-cb0	6	128	16	21272.4375	9198.8828125
root-reuse-r1	prototype-A	original-cb0	7	128	16	21353.484375	9325.6328125
root-reuse-r1	prototype-A	original-cb0	8	128	16	21550.28125	9203.9765625
root-reuse-r1	prototype-A	original-cb0	9	128	16	22658.7578125	9997.328125
root-reuse-r1	prototype-A	original-cb1	1	128	16	21330.7421875	9192.5234375
root-reuse-r1	prototype-A	original-cb1	2	128	16	21376.4453125	9196.6484375
root-reuse-r1	prototype-A	original-cb1	3	128	16	21228.875	9188.984375
root-reuse-r1	prototype-A	original-cb1	4	128	16	21263.7890625	9154.4375
root-reuse-r1	prototype-A	original-cb1	5	128	16	21341.8671875	9140.171875
root-reuse-r1	prototype-A	original-cb1	6	128	16	21426.171875	9239.09375
root-reuse-r1	prototype-A	original-cb1	7	128	16	21454.6171875	9184.84375
root-reuse-r1	prototype-A	original-cb1	8	128	16	21386.046875	9196.4765625
root-reuse-r1	prototype-A	original-cb1	9	128	16	21357.40625	9189.7734375
root-reuse-r1	prototype-A	control-scx	1	128	16	21394.0546875	9221.5625
root-reuse-r1	prototype-A	control-scx	2	128	16	21357.59375	9196.2421875
root-reuse-r1	prototype-A	control-scx	3	128	16	21263.2265625	9245.1171875
root-reuse-r1	prototype-A	control-scx	4	128	16	21521.671875	9146.515625
root-reuse-r1	prototype-A	control-scx	5	128	16	21275.859375	9494.984375
root-reuse-r1	prototype-A	control-scx	6	128	16	21610.9609375	9239.890625
root-reuse-r1	prototype-A	control-scx	7	128	16	21192.875	9145.703125
root-reuse-r1	prototype-A	control-scx	8	128	16	21255.2890625	9203.5
root-reuse-r1	prototype-A	control-scx	9	128	16	21243.2734375	9170.765625
root-reuse-r1	prototype-A	control-disabled	1	128	16	21235.2421875	9098.75
root-reuse-r1	prototype-A	control-disabled	2	128	16	21127.1328125	9069.78125
root-reuse-r1	prototype-A	control-disabled	3	128	16	21294.359375	9178.8203125
root-reuse-r1	prototype-A	control-disabled	4	128	16	20986.671875	9283.3125
root-reuse-r1	prototype-A	control-disabled	5	128	16	20940.6796875	9203.6875
root-reuse-r1	prototype-A	control-disabled	6	128	16	21010.8203125	9162.2421875
root-reuse-r1	prototype-A	control-disabled	7	128	16	21036.09375	9175.375
root-reuse-r1	prototype-A	control-disabled	8	128	16	21072.7421875	9096.921875
root-reuse-r1	prototype-A	control-disabled	9	128	16	21171.75	9097.4453125
root-reuse-r1	prototype-B	original-cb0	1	128	16	22546.6328125	9157.5234375
root-reuse-r1	prototype-B	original-cb0	2	128	16	22340.25	9214.671875
root-reuse-r1	prototype-B	original-cb0	3	128	16	22023.625	9229.890625
root-reuse-r1	prototype-B	original-cb0	4	128	16	22160.625	9155.5
root-reuse-r1	prototype-B	original-cb0	5	128	16	21435.2890625	9137.234375
root-reuse-r1	prototype-B	original-cb0	6	128	16	21736.1015625	9179.265625
root-reuse-r1	prototype-B	original-cb0	7	128	16	21723.859375	9214.4453125
root-reuse-r1	prototype-B	original-cb0	8	128	16	21805.1640625	9158.5703125
root-reuse-r1	prototype-B	original-cb0	9	128	16	21559.5703125	9165.984375
root-reuse-r1	prototype-B	original-cb1	1	128	16	21476.09375	9153.421875
root-reuse-r1	prototype-B	original-cb1	2	128	16	22057.7734375	9235.90625
root-reuse-r1	prototype-B	original-cb1	3	128	16	21490.375	9182.5
root-reuse-r1	prototype-B	original-cb1	4	128	16	21513.84375	9139.1484375
root-reuse-r1	prototype-B	original-cb1	5	128	16	21595.2265625	9112.8203125
root-reuse-r1	prototype-B	original-cb1	6	128	16	21648.5	9133.765625
root-reuse-r1	prototype-B	original-cb1	7	128	16	21508.2421875	9156.140625
root-reuse-r1	prototype-B	original-cb1	8	128	16	21614.359375	9135.96875
root-reuse-r1	prototype-B	original-cb1	9	128	16	21593.703125	9166.7265625
root-reuse-r1	prototype-B	control-scx	1	128	16	21641.3046875	9097.359375
root-reuse-r1	prototype-B	control-scx	2	128	16	21716.078125	9163.125
root-reuse-r1	prototype-B	control-scx	3	128	16	21968.34375	9149.34375
root-reuse-r1	prototype-B	control-scx	4	128	16	21661.5625	9111.6875
root-reuse-r1	prototype-B	control-scx	5	128	16	21433.703125	9195.625
root-reuse-r1	prototype-B	control-scx	6	128	16	21560.2421875	9105.6875
root-reuse-r1	prototype-B	control-scx	7	128	16	21531.359375	9124.859375
root-reuse-r1	prototype-B	control-scx	8	128	16	21477.09375	9280.8671875
root-reuse-r1	prototype-B	control-scx	9	128	16	21532.25	9085.6875
root-reuse-r1	prototype-B	control-disabled	1	128	16	21325.4375	9116.1015625
root-reuse-r1	prototype-B	control-disabled	2	128	16	22100.359375	9138.5390625
root-reuse-r1	prototype-B	control-disabled	3	128	16	22065.828125	9102.71875
root-reuse-r1	prototype-B	control-disabled	4	128	16	21318.03125	9129.8671875
root-reuse-r1	prototype-B	control-disabled	5	128	16	21239.8125	9136.6640625
root-reuse-r1	prototype-B	control-disabled	6	128	16	21336.7734375	9141.734375
root-reuse-r1	prototype-B	control-disabled	7	128	16	21441.1171875	9077.1640625
root-reuse-r1	prototype-B	control-disabled	8	128	16	21456.921875	9052.46875
root-reuse-r1	prototype-B	control-disabled	9	128	16	21360.484375	9121.8984375
root-reuse-r1	notify-B	original-cb0	1	128	16	21796.9609375	9645.671875
root-reuse-r1	notify-B	original-cb0	2	128	16	21330.171875	9793.484375
root-reuse-r1	notify-B	original-cb0	3	128	16	21567.4609375	9685.6640625
root-reuse-r1	notify-B	original-cb0	4	128	16	21143.0390625	9631.6484375
root-reuse-r1	notify-B	original-cb0	5	128	16	21073.09375	9644.5546875
root-reuse-r1	notify-B	original-cb0	6	128	16	21196.8671875	9613.7734375
root-reuse-r1	notify-B	original-cb0	7	128	16	21263.3515625	9680.4609375
root-reuse-r1	notify-B	original-cb0	8	128	16	21450.1953125	9709.2265625
root-reuse-r1	notify-B	original-cb0	9	128	16	21201.6484375	9606.2578125
root-reuse-r1	notify-B	original-cb1	1	128	16	21153.515625	9564.84375
root-reuse-r1	notify-B	original-cb1	2	128	16	21343.5078125	9731.3046875
root-reuse-r1	notify-B	original-cb1	3	128	16	21231.7734375	9604.9375
root-reuse-r1	notify-B	original-cb1	4	128	16	21057.7578125	9628.4375
root-reuse-r1	notify-B	original-cb1	5	128	16	21324.5546875	9570.84375
root-reuse-r1	notify-B	original-cb1	6	128	16	21429.3125	9563.6953125
root-reuse-r1	notify-B	original-cb1	7	128	16	21182.4765625	9593.6953125
root-reuse-r1	notify-B	original-cb1	8	128	16	21219.6640625	9943.5625
root-reuse-r1	notify-B	original-cb1	9	128	16	21265.203125	9674.3359375
root-reuse-r1	notify-B	control-scx	1	128	16	21070.1484375	9610.0234375
root-reuse-r1	notify-B	control-scx	2	128	16	20876.2109375	9615.1640625
root-reuse-r1	notify-B	control-scx	3	128	16	21164.8359375	9620.8984375
root-reuse-r1	notify-B	control-scx	4	128	16	21188.1875	9638.703125
root-reuse-r1	notify-B	control-scx	5	128	16	21175.4921875	9575.03125
root-reuse-r1	notify-B	control-scx	6	128	16	21118.6328125	9612.8828125
root-reuse-r1	notify-B	control-scx	7	128	16	21013.4921875	9640.4921875
root-reuse-r1	notify-B	control-scx	8	128	16	21557.7109375	9577.3671875
root-reuse-r1	notify-B	control-scx	9	128	16	21430.7578125	9572.828125
root-reuse-r1	notify-B	control-disabled	1	128	16	21256.5	9548.421875
root-reuse-r1	notify-B	control-disabled	2	128	16	21125.65625	9539.5078125
root-reuse-r1	notify-B	control-disabled	3	128	16	21182.7578125	9531.484375
root-reuse-r1	notify-B	control-disabled	4	128	16	21045.2890625	9560.7890625
root-reuse-r1	notify-B	control-disabled	5	128	16	21055.40625	9794.4140625
root-reuse-r1	notify-B	control-disabled	6	128	16	21129.9296875	9623.6953125
root-reuse-r1	notify-B	control-disabled	7	128	16	20964.2734375	9612.625
root-reuse-r1	notify-B	control-disabled	8	128	16	21169.734375	9618.1953125
root-reuse-r1	notify-B	control-disabled	9	128	16	21128.7109375	9578.59375
mainline-r1	old-A	control-disabled	1	128	16	22410.6171875	9853.4296875
mainline-r1	old-A	control-disabled	2	128	16	19951.96875	9860.75
mainline-r1	old-A	control-disabled	3	128	16	17931.09375	9898.453125
mainline-r1	old-A	control-disabled	4	128	16	18607.8203125	9935.71875
mainline-r1	old-A	control-disabled	5	128	16	18144.90625	9920.1875
mainline-r1	old-A	control-disabled	6	128	16	18608.296875	9900.6171875
mainline-r1	old-A	control-disabled	7	128	16	18667.3515625	9919.0078125
mainline-r1	old-A	control-disabled	8	128	16	17873.953125	10122.7265625
mainline-r1	old-A	control-disabled	9	128	16	18832.0625	9932.1796875
mainline-r1	latest	control-disabled	1	128	16	22921.234375	9779.46875
mainline-r1	latest	control-disabled	2	128	16	20456.90625	9715.953125
mainline-r1	latest	control-disabled	3	128	16	18261.8671875	9684.0546875
mainline-r1	latest	control-disabled	4	128	16	18271.9765625	9678.9765625
mainline-r1	latest	control-disabled	5	128	16	18360.546875	9817.3828125
mainline-r1	latest	control-disabled	6	128	16	18788.046875	9721.1015625
mainline-r1	latest	control-disabled	7	128	16	19170.8203125	9852.7890625
mainline-r1	latest	control-disabled	8	128	16	18920.53125	9718.765625
mainline-r1	latest	control-disabled	9	128	16	18322.6953125	9693.1328125
mainline-r1	old-B	control-disabled	1	128	16	22728.96875	9911.671875
mainline-r1	old-B	control-disabled	2	128	16	21111.5625	9896.359375
mainline-r1	old-B	control-disabled	3	128	16	18510.03125	9986.7734375
mainline-r1	old-B	control-disabled	4	128	16	18594.78125	9953.203125
mainline-r1	old-B	control-disabled	5	128	16	18530.09375	9901.3203125
mainline-r1	old-B	control-disabled	6	128	16	18766.90625	10051.8125
mainline-r1	old-B	control-disabled	7	128	16	18868.703125	9923.140625
mainline-r1	old-B	control-disabled	8	128	16	18775.5078125	10009.109375
mainline-r1	old-B	control-disabled	9	128	16	18752.90625	9971.5078125
