point	kernel_release	boot_id	failed_units	measured_rows	semantic_failures
parent-a	7.1.3-mprotect-pv3-base-19999e479c2a	6ee21436-2071-4e8e-b320-7d23640e685d	0	15	0
child	7.1.3-mprotect-pv3-full-89e613bc0b2d	ab54a7af-4c83-4507-a469-78dea1caab45	0	15	0
parent-b	7.1.3-mprotect-pv3-base-19999e479c2a	64dc6167-c25d-4e94-b38b-d53fef2c1e78	0	15	0
