source	point	profile	actual_preempt	round	logical_ops	elapsed_ns	ns_per_op	semantic_pass
standalone	parent-a	sendmmsg	none	6	65536	22466780	342.815857	1
standalone	parent-a	sendmmsg	none	7	65536	22494906	343.245026	1
standalone	parent-a	sendmmsg	none	8	65536	22472170	342.898102	1
standalone	parent-a	sendmmsg	none	9	65536	22569594	344.384674	1
standalone	parent-a	sendmmsg	none	10	65536	22495901	343.260208	1
standalone	parent-a	sendmmsg	none	11	65536	22474082	342.927277	1
standalone	parent-a	sendmmsg	none	12	65536	22502780	343.365173	1
standalone	parent-a	sendmmsg	none	13	65536	22489483	343.162277	1
standalone	parent-a	sendmmsg	none	14	65536	22497017	343.277237	1
standalone	child	sendmmsg	none	0	65536	25970528	396.278809	1
standalone	child	sendmmsg	none	1	65536	25958164	396.090149	1
standalone	child	sendmmsg	none	2	65536	25938553	395.790909	1
standalone	child	sendmmsg	none	3	65536	25968721	396.251236	1
standalone	child	sendmmsg	none	4	65536	25911783	395.382431	1
standalone	child	sendmmsg	none	5	65536	25929136	395.647217	1
standalone	child	sendmmsg	none	6	65536	25939002	395.797760	1
standalone	child	sendmmsg	none	7	65536	25926225	395.602798	1
standalone	child	sendmmsg	none	8	65536	25912938	395.400055	1
standalone	child	sendmmsg	none	9	65536	25944280	395.878296	1
standalone	child	sendmmsg	none	10	65536	25954771	396.038376	1
standalone	child	sendmmsg	none	11	65536	25935319	395.741562	1
standalone	child	sendmmsg	none	12	65536	25921948	395.537537	1
standalone	child	sendmmsg	none	13	65536	25941804	395.840515	1
standalone	child	sendmmsg	none	14	65536	25964854	396.192230	1
standalone	parent-b	sendmmsg	none	0	65536	22506244	343.418030	1
standalone	parent-b	sendmmsg	none	1	65536	22528548	343.758362	1
standalone	parent-b	sendmmsg	none	2	65536	22504158	343.386200	1
standalone	parent-b	sendmmsg	none	3	65536	22503792	343.380615	1
standalone	parent-b	sendmmsg	none	4	65536	22525001	343.704239	1
standalone	parent-b	sendmmsg	none	5	65536	22507559	343.438095	1
standalone	parent-b	sendmmsg	none	6	65536	22483173	343.065994	1
standalone	parent-b	sendmmsg	none	7	65536	22482663	343.058212	1
standalone	parent-b	sendmmsg	none	8	65536	22476504	342.964233	1
standalone	parent-b	sendmmsg	none	9	65536	22476462	342.963593	1
standalone	parent-b	sendmmsg	none	10	65536	22489625	343.164444	1
standalone	parent-b	sendmmsg	none	11	65536	22487077	343.125565	1
standalone	parent-b	sendmmsg	none	12	65536	22493493	343.223465	1
standalone	parent-b	sendmmsg	none	13	65536	22488774	343.151459	1
standalone	parent-b	sendmmsg	none	14	65536	22484381	343.084427	1
