case	point	sample	warmups	pace_ms	operations	between_stage_ns	cycle_ns	first4_cycle_ns	first4_mkdir_ns	first4_rmdir_ns	first4_stat_ns	first_cycle_ns	first_mkdir_ns	first_rmdir_ns	first_stat_ns	mkdir_ns	rmdir_ns	stat_ns	tail_cycle_ns	tail_mkdir_ns	tail_rmdir_ns	tail_stat_ns	workload_wall_per_cycle_ns
w16-p200	B2	8	16	200	32	49.59375	80208.59375	80359.75	56544	15852	7914	79974	56301	15708	7911	56462.25	15729.375	7967.375	80187	56450.57142857143	15711.857142857143	7975	200437535.71875
w16-p200	B2	9	16	200	32	50.4375	80223.78125	81548.25	54667	18644.25	8186.75	79271	55178	15630	8413	55936.78125	16042.09375	8194.46875	80034.57142857143	56118.17857142857	15670.357142857143	8195.57142857143	200415893.125
w16-p200	A2	1	16	200	32	50.09375	80953.71875	83040	57431.75	17677.25	7881	79847	54073	17825	7901	54583.25	18363.125	7957.25	80655.67857142857	54176.32142857143	18461.10714285714	7968.142857142857	200444894.0625
w16-p200	A2	2	16	200	32	49.09375	82081.25	81121.75	54829.5	18168	8076.75	80992	54909	17941	8094	55734.875	17979.90625	8317.375	82218.32142857143	55864.21428571428	17953.035714285714	8351.75	200411971.21875
w16-p200	A2	3	16	200	32	56.125	81535.90625	79320.25	53574.25	17909.25	7783.25	79168	53830	17819	7463	54756.5625	18783.96875	7939.25	81852.42857142857	54925.46428571428	18908.928571428572	7961.535714285715	200395601.03125
w16-p200	A2	4	16	200	32	49.15625	82447.53125	81133.25	55389.5	17776.25	7919.5	81016	55136	17789	8041	56257.9375	18331.65625	7808.78125	82635.28571428571	56382	18411	7792.964285714285	200402498.78125
w16-p200	A2	5	16	200	32	47.53125	80781.21875	80218.5	54801.5	17759.25	7610.75	79370	54080	17727	7516	55151.40625	17826.3125	7755.96875	80861.60714285714	55201.392857142855	17835.89285714286	7776.714285714285	200400834.5
w16-p200	A2	6	16	200	32	54.3125	81147.875	79894.75	54300	17792.5	7749.75	79973	54461	17507	7958	54725.65625	18582.40625	7785.5	81326.89285714286	54786.46428571428	18695.25	7790.607142857143	200404078.71875
w16-p200	A2	7	16	200	32	52.1875	82436.40625	81188.75	55301.5	17952	7886	80510	54724	17808	7929	55936.15625	18372.25	8075.8125	82614.64285714286	56026.82142857143	18432.285714285714	8102.928571428572	200401551.6875
w16-p200	A2	8	16	200	32	49.65625	82747.40625	83283.5	56145	18722.5	8368.25	84183	56692	19104	8338	56463.21875	18095.3125	8139.21875	82670.82142857143	56508.67857142857	18005.714285714286	8106.5	200410318.1875
w16-p200	A2	9	16	200	32	49.90625	83003.03125	84956.25	58824.5	18024	8058	81570	55170	18252	8100	56921.5625	17914.625	8116.9375	82724	56649.71428571428	17899	8125.357142857143	200408778.46875
