implementation	symbol	role	count
formal	io_futex_prep	required	1024
formal	io_futex_wait	required	512
formal	io_futex_wake	required	512
formal	io_futex_complete	required	512
standalone	io_futex_prep	required	128
standalone	io_futex_wait	required	64
standalone	io_futex_wake	required	64
standalone	io_futex_complete	required	64
