boot	round	phase	case	cpu	reads	expected	bytes_per_read	total_bytes	wall_ns	thread_cpu_ns	semantic_pass
base-b	2	warmup	period	2	4096	1000000	8	32768	35379904	35382106	true
base-b	2	warmup	rr	2	4096	100	4	16384	1033300	1035655	true
base-b	2	warmup	runtime	2	4096	950000	7	28672	35330339	35332360	true
base-b	3	measured	period	2	4096	1000000	8	32768	35174818	35176864	true
base-b	3	measured	rr	2	4096	100	4	16384	1028505	1030959	true
base-b	3	measured	runtime	2	4096	950000	7	28672	35015073	35017582	true
base-b	4	measured	period	2	4096	1000000	8	32768	35181553	35183090	true
base-b	4	measured	rr	2	4096	100	4	16384	1029255	1031729	true
base-b	4	measured	runtime	2	4096	950000	7	28672	35053336	35055704	true
base-b	5	measured	period	2	4096	1000000	8	32768	34792056	34793973	true
base-b	5	measured	rr	2	4096	100	4	16384	1030876	1033080	true
base-b	5	measured	runtime	2	4096	950000	7	28672	35191320	35193801	true
base-b	6	measured	period	2	4096	1000000	8	32768	35353414	35350917	true
base-b	6	measured	rr	2	4096	100	4	16384	1030422	1032717	true
base-b	6	measured	runtime	2	4096	950000	7	28672	35151455	35153849	true
base-b	7	measured	period	2	4096	1000000	8	32768	35112518	35114884	true
base-b	7	measured	rr	2	4096	100	4	16384	1031786	1034155	true
base-b	7	measured	runtime	2	4096	950000	7	28672	35307786	35310290	true
base-b	8	measured	period	2	4096	1000000	8	32768	35094236	35096618	true
base-b	8	measured	rr	2	4096	100	4	16384	1033511	1035851	true
base-b	8	measured	runtime	2	4096	950000	7	28672	35269665	35272154	true
base-b	9	measured	period	2	4096	1000000	8	32768	35323179	35325298	true
base-b	9	measured	rr	2	4096	100	4	16384	1023562	1025849	true
base-b	9	measured	runtime	2	4096	950000	7	28672	35347129	35349270	true
base-b	10	measured	period	2	4096	1000000	8	32768	34964803	34967417	true
base-b	10	measured	rr	2	4096	100	4	16384	1033326	1035848	true
base-b	10	measured	runtime	2	4096	950000	7	28672	34634242	34636485	true
base-b	11	measured	period	2	4096	1000000	8	32768	35161494	35163863	true
base-b	11	measured	rr	2	4096	100	4	16384	1022830	1025266	true
base-b	11	measured	runtime	2	4096	950000	7	28672	34837527	34833744	true
