point	run_dir
parent-a	20260722T183650Z_parent-a_6.16.0-rc5-mprotect-cac-p-45199f715b74
child-a	20260722T183913Z_child-a_6.16.0-rc5-mprotect-cac-c-cac1db8c3aad
fastpath-a	20260722T184138Z_fastpath-a_6.16.0-rc5-mprotect-cac-v-ptefastpath0
folioonly-a	20260722T184413Z_folioonly-a_6.16.0-rc5-mprotect-cac-v-folioonly000
nofolio	20260722T184651Z_nofolio_6.16.0-rc5-mprotect-cac-v-nofolio00000
folioonly-b	20260722T184919Z_folioonly-b_6.16.0-rc5-mprotect-cac-v-folioonly000
fastpath-b	20260722T185147Z_fastpath-b_6.16.0-rc5-mprotect-cac-v-ptefastpath0
child-b	20260722T185409Z_child-b_6.16.0-rc5-mprotect-cac-c-cac1db8c3aad
parent-b	20260722T185639Z_parent-b_6.16.0-rc5-mprotect-cac-p-45199f715b74
