analysis	parent_a	child_a	fastpath_a	folioonly_a	nofolio	folioonly_b	fastpath_b	child_b	parent_b	parent_midpoint	child_midpoint	fastpath_midpoint	folioonly_midpoint	original_regression_pct	fastpath_vs_child_pct	folioonly_vs_fastpath_pct	nofolio_vs_folioonly_pct	nofolio_vs_parent_pct	parent_drift_pct	child_drift_pct	fastpath_drift_pct	folioonly_drift_pct	commit_path_recovery_pct	batch_discovery_recovery_pct	folio_lookup_recovery_pct	combined_recovery_pct	residual_gap_pct
all_15_rounds	38.733333	52.933333	46.800000	46.933333	40.600000	46.866667	46.933333	53.000000	38.866667	38.800000	52.966667	46.866667	46.900000	36.512027	-11.516677	0.071124	-13.432836	4.639175	0.344234	0.125945	0.284900	-0.142045	43.058824	-0.235294	44.470588	87.294118	12.705882
drop_first_round	38.857143	53.000000	46.857143	47.000000	40.642857	46.928571	47.000000	53.071429	39.000000	38.928571	53.035714	46.928571	46.964286	36.238532	-11.515152	0.076104	-13.460076	4.403670	0.367647	0.134771	0.304878	-0.151976	43.291139	-0.253165	44.810127	87.848101	12.151899
