slot	role	commit	kernel_release	boot_id	runtime_build_id	cmdline_preempt	build_preempt	actual_preempt	manifest_sha256	binary_sha256
parent-a	good	e410ffca588691e36d5449a5bf521a1a7b712911	6.12.0-rc4-msgf07029-good-e410ffca5886-xxxxxxxx+	a66d4f15-092d-498e-b226-fc3ccae9c61c	6ef1e57e7983be0f9e49bc42c4b8e595f2e2cfa2	full	dynamic	full	359066e44a389c556d9c946fa48829b902e21bd228c4eab297eb4a430cdbd000	8c23628f679aebc05461ac65c70c0b00bea126f6f33e7c369deaf999562b7e32
child	bad	7029acd8a950393ee3a3d8e1a7ee1a9b77808a3b	6.12.0-rc4-msgf07029-bad-7029acd8a950-xxxxxxxxx+	6171c4f8-936d-4852-9005-cb55121af3f2	3868e9663bca56591ea60c9d764d1124fcf64e66	full	dynamic	full	bc949b7ccbed4591f0a8e60fe25258a4b420cae8f44d7cb4db66120ef57af26e	8c23628f679aebc05461ac65c70c0b00bea126f6f33e7c369deaf999562b7e32
parent-b	good	e410ffca588691e36d5449a5bf521a1a7b712911	6.12.0-rc4-msgf07029-good-e410ffca5886-xxxxxxxx+	80fd6bec-e460-45ca-9d3a-3b155f53ac8f	6ef1e57e7983be0f9e49bc42c4b8e595f2e2cfa2	full	dynamic	full	359066e44a389c556d9c946fa48829b902e21bd228c4eab297eb4a430cdbd000	8c23628f679aebc05461ac65c70c0b00bea126f6f33e7c369deaf999562b7e32
