version,scenario,run_count,ok_runs,failed_runs,total_source_functions,total_functions,covered_functions_any,covered_functions_all,coverage_ratio_any,coverage_ratio_all,note
v6.12.77,shared_dirty_full_toggle_64m,9,9,0,18,15,10,10,0.666667,0.666667,coverage collected separately from clean timing
v6.19.9,shared_dirty_full_toggle_64m,9,9,0,26,23,12,12,0.521739,0.521739,coverage collected separately from clean timing
