metric	point	sample	operations	warmups	mean_ns
cycle.mkdir_ns	A2	9	32	16	17865.59375
cycle.stat_ns	A1	1	32	16	1777.3125
cycle.stat_ns	A1	2	32	16	1767.8125
cycle.stat_ns	A1	3	32	16	1765
cycle.stat_ns	A1	4	32	16	1775.3125
cycle.stat_ns	A1	5	32	16	1836.84375
cycle.stat_ns	A1	6	32	16	1849.625
cycle.stat_ns	A1	7	32	16	1931.21875
cycle.stat_ns	A1	8	32	16	1797.125
cycle.stat_ns	A1	9	32	16	1782.375
cycle.stat_ns	B1	1	32	16	1723.71875
cycle.stat_ns	B1	2	32	16	1789.96875
cycle.stat_ns	B1	3	32	16	1786
cycle.stat_ns	B1	4	32	16	1776.15625
cycle.stat_ns	B1	5	32	16	1773.375
cycle.stat_ns	B1	6	32	16	1806.96875
cycle.stat_ns	B1	7	32	16	1768
cycle.stat_ns	B1	8	32	16	1754.53125
cycle.stat_ns	B1	9	32	16	1794.21875
cycle.stat_ns	B2	1	32	16	1790.15625
cycle.stat_ns	B2	2	32	16	1762.375
cycle.stat_ns	B2	3	32	16	1796.5625
cycle.stat_ns	B2	4	32	16	1763.6875
cycle.stat_ns	B2	5	32	16	1768.28125
cycle.stat_ns	B2	6	32	16	1780.625
cycle.stat_ns	B2	7	32	16	1758.25
cycle.stat_ns	B2	8	32	16	1843
cycle.stat_ns	B2	9	32	16	1770.65625
cycle.stat_ns	A2	1	32	16	1730.25
cycle.stat_ns	A2	2	32	16	1745.4375
cycle.stat_ns	A2	3	32	16	1735.1875
cycle.stat_ns	A2	4	32	16	1765.59375
cycle.stat_ns	A2	5	32	16	1809.8125
cycle.stat_ns	A2	6	32	16	1787.40625
cycle.stat_ns	A2	7	32	16	1769.09375
cycle.stat_ns	A2	8	32	16	1766.71875
cycle.stat_ns	A2	9	32	16	1795.28125
cycle.rmdir_ns	A1	1	32	16	9931.125
cycle.rmdir_ns	A1	2	32	16	9766.375
cycle.rmdir_ns	A1	3	32	16	9750.46875
cycle.rmdir_ns	A1	4	32	16	9711.59375
cycle.rmdir_ns	A1	5	32	16	9864
cycle.rmdir_ns	A1	6	32	16	9866.40625
cycle.rmdir_ns	A1	7	32	16	9792.8125
cycle.rmdir_ns	A1	8	32	16	9924.4375
cycle.rmdir_ns	A1	9	32	16	9893.3125
cycle.rmdir_ns	B1	1	32	16	7632.09375
cycle.rmdir_ns	B1	2	32	16	7538.625
cycle.rmdir_ns	B1	3	32	16	7497.40625
cycle.rmdir_ns	B1	4	32	16	7620.09375
cycle.rmdir_ns	B1	5	32	16	7533.21875
cycle.rmdir_ns	B1	6	32	16	7526.09375
cycle.rmdir_ns	B1	7	32	16	7551.96875
cycle.rmdir_ns	B1	8	32	16	7521.75
