experiment	arm	metric	contrast	min_change_percent	max_change_percent	min_drop_first_percent	max_drop_first_percent	max_cv_percent	old_drift_percent	new_drift_percent	stability_pass	signal_direction	signal_pass
exact-r1	original-cb0	create_ns	guard-over-base	0.07319927062936493	2.1950275158314714	0.04854667498166432	2.3863926905749233	1.6432525089299068	0.7756179822702158	1.3343090949253344	True	slower	False
exact-r1	original-cb0	create_ns	notify-over-guard	-2.860872547452875	0.7387718577450242	-2.9992867255608457	0.8084571782566163	1.5124236366151762	1.3343090949253344	2.3401249786964007	False	slower	False
exact-r1	original-cb0	create_ns	notify-over-base	-1.4926824400776528	1.594431874691482	-1.3169654386000484	1.503829278255986	1.6432525089299068	0.7756179822702158	2.3401249786964007	False	slower	False
exact-r1	original-cb0	remove_ns	guard-over-base	5.897250792788533	7.235952307869398	5.896819949668264	7.085543788438842	2.6090828524711474	-0.6463817631235935	0.6095983333070931	True	slower	True
exact-r1	original-cb0	remove_ns	notify-over-guard	37.03655666310735	38.93532340547119	37.10979216528267	38.616999729948695	2.315023580815305	0.6095983333070931	0.7712912866848942	True	slower	True
exact-r1	original-cb0	remove_ns	notify-over-base	46.002582668010405	48.08588804051721	45.9441489361702	47.676722027191374	2.6090828524711474	-0.6463817631235935	0.7712912866848942	True	slower	True
exact-r1	original-cb1	create_ns	guard-over-base	-0.22892887083252322	1.3633070156529037	-0.2880993605112958	1.2285461019865718	0.7602047540449082	0.22846033306511693	1.3643120929098362	True	slower	False
exact-r1	original-cb1	create_ns	notify-over-guard	-1.7812903286579584	0.8193584685036726	-1.8508374624210955	0.8303966281932196	0.7235152914704556	1.3643120929098362	1.2662266762278218	True	slower	False
exact-r1	original-cb1	create_ns	notify-over-base	-0.6691992472607655	0.8183587947312665	-0.7317149059069439	0.6277004850546053	0.7602047540449082	0.22846033306511693	1.2662266762278218	True	slower	False
exact-r1	original-cb1	remove_ns	guard-over-base	6.272735964052689	6.672328413195849	6.287524618061524	6.646336868621017	0.5400173842906902	0.09090691610249557	0.28484069499781217	True	slower	True
exact-r1	original-cb1	remove_ns	notify-over-guard	37.32353145653406	37.973661512995506	37.21326561340761	38.07056916090339	0.6671000165567306	0.28484069499781217	-0.1877001394506861	True	slower	True
exact-r1	original-cb1	remove_ns	notify-over-base	46.35316331652286	46.76168034257553	46.20403831813227	46.88115620294076	0.6671000165567306	0.09090691610249557	-0.1877001394506861	True	slower	True
exact-r1	control-scx	create_ns	guard-over-base	0.08854430081979281	1.1061280973895027	0.31204053489928274	1.4450830195953168	2.3814447778325087	0.48119342173247315	0.5329257557891154	True	slower	False
exact-r1	control-scx	create_ns	notify-over-guard	-1.6404191565364212	0.7484536816936505	-1.7867663857058735	0.7415364058906748	0.9811225610016013	0.5329257557891154	1.8857385843498164	True	slower	False
exact-r1	control-scx	create_ns	notify-over-base	-1.0286796791381003	1.322884885488973	-0.7730977730690647	1.4689610523780816	2.3814447778325087	0.48119342173247315	1.8857385843498164	True	slower	False
exact-r1	control-scx	remove_ns	guard-over-base	6.262378459237095	7.068363240473596	6.353428002190009	6.839466118282567	0.687557793021474	-0.4114285714285737	0.3439363481257507	True	slower	True
exact-r1	control-scx	remove_ns	notify-over-guard	37.471787602594354	38.263538129747566	37.64648873933254	38.10563109770866	0.7816780476907114	0.3439363481257507	0.23120518970745074	True	slower	True
