experiment	point	arm	metric	median_ns	cv_percent	drop_first_median_ns
exact-r2	guard-A	control-disabled	remove_ns	6956.109375	0.831033913237533	6962.10546875
exact-r2	notify-A	original-cb0	create_ns	21391.671875	1.6228641452714538	21379.26953125
exact-r2	notify-A	original-cb0	remove_ns	9632.171875	0.49080929096326253	9637.96484375
exact-r2	notify-A	original-cb1	create_ns	21320.109375	0.6308814753383807	21329.5234375
exact-r2	notify-A	original-cb1	remove_ns	9619.40625	0.6275510456002265	9627.78515625
exact-r2	notify-A	control-scx	create_ns	21190.9921875	1.9773248705331246	21212.48046875
exact-r2	notify-A	control-scx	remove_ns	9600.8984375	2.688690389897358	9600.04296875
exact-r2	notify-A	control-disabled	create_ns	21193.6953125	0.5861145223492323	21178.171875
exact-r2	notify-A	control-disabled	remove_ns	9552.9609375	0.454208946526646	9557.54296875
exact-r2	notify-B	original-cb0	create_ns	21540.9765625	1.3441902396618413	21519.28125
exact-r2	notify-B	original-cb0	remove_ns	9655.359375	1.665816946852677	9655.2578125
exact-r2	notify-B	original-cb1	create_ns	21377.046875	0.9813803588562333	21412.2734375
exact-r2	notify-B	original-cb1	remove_ns	9596.2421875	0.46958638675201586	9594.984375
exact-r2	notify-B	control-scx	create_ns	21328.8984375	0.6308704145170039	21339.48046875
exact-r2	notify-B	control-scx	remove_ns	9637.1640625	0.5293951060807376	9621.56640625
exact-r2	notify-B	control-disabled	create_ns	21256.8828125	0.8781625056454248	21259.17578125
exact-r2	notify-B	control-disabled	remove_ns	9558.328125	0.5418957562831394	9568.03125
exact-r2	guard-B	original-cb0	create_ns	21594.375	0.688025913470026	21587.5703125
exact-r2	guard-B	original-cb0	remove_ns	6924.953125	2.6808386294695574	6923.265625
exact-r2	guard-B	original-cb1	create_ns	21579.953125	2.1548177395643053	21593.109375
exact-r2	guard-B	original-cb1	remove_ns	6915.7109375	0.6351767925377788	6919.33203125
exact-r2	guard-B	control-scx	create_ns	21388.7734375	0.4876895107381792	21415.6640625
exact-r2	guard-B	control-scx	remove_ns	6930.3203125	0.6683210301579933	6918.0
exact-r2	guard-B	control-disabled	create_ns	21285.8046875	0.6828688550301606	21300.70703125
exact-r2	guard-B	control-disabled	remove_ns	6922.25	0.6858507610581248	6924.5859375
exact-r2	base-B	original-cb0	create_ns	21222.4140625	1.6724550545542636	21219.38671875
exact-r2	base-B	original-cb0	remove_ns	6548.71875	0.50198619837633	6550.47265625
exact-r2	base-B	original-cb1	create_ns	21129.7890625	0.5046191726991937	21137.46875
exact-r2	base-B	original-cb1	remove_ns	6542.5078125	0.4700348734286945	6544.61328125
exact-r2	base-B	control-scx	create_ns	21094.65625	0.5341311262715438	21067.4375
exact-r2	base-B	control-scx	remove_ns	6537.0234375	0.26152782314187967	6539.68359375
exact-r2	base-B	control-disabled	create_ns	21034.4453125	0.6101387371216629	21066.36328125
exact-r2	base-B	control-disabled	remove_ns	6527.515625	0.6909358639521238	6538.609375
root-reuse-r1	notify-A	original-cb0	create_ns	21139.3671875	1.5696501092035224	21131.2578125
root-reuse-r1	notify-A	original-cb0	remove_ns	9621.5703125	0.9349424434772678	9633.515625
root-reuse-r1	notify-A	original-cb1	create_ns	21113.0625	0.7939384602230524	21126.46484375
root-reuse-r1	notify-A	original-cb1	remove_ns	9593.78125	0.814651539301507	9599.1953125
root-reuse-r1	notify-A	control-scx	create_ns	21064.28125	0.6478874229298868	21062.9765625
root-reuse-r1	notify-A	control-scx	remove_ns	9592.1328125	0.6247133511119285	9597.921875
root-reuse-r1	notify-A	control-disabled	create_ns	20947.6640625	0.5223592491444197	20932.8125
root-reuse-r1	notify-A	control-disabled	remove_ns	9537.3984375	0.34972140784539824	9540.6640625
root-reuse-r1	prototype-A	original-cb0	create_ns	21433.8046875	2.665926413736891	21419.4765625
root-reuse-r1	prototype-A	original-cb0	remove_ns	9208.5703125	2.676215839748227	9218.5625
root-reuse-r1	prototype-A	original-cb1	create_ns	21357.40625	0.3173123945470663	21366.92578125
root-reuse-r1	prototype-A	original-cb1	remove_ns	9189.7734375	0.28561642140434973	9189.37890625
root-reuse-r1	prototype-A	control-scx	create_ns	21275.859375	0.6197434131264978	21269.54296875
root-reuse-r1	prototype-A	control-scx	remove_ns	9203.5	1.083719614827886	9199.87109375
root-reuse-r1	prototype-A	control-disabled	create_ns	21072.7421875	0.530859553477042	21054.41796875
root-reuse-r1	prototype-A	control-disabled	remove_ns	9162.2421875	0.6995631398644879	9168.80859375
root-reuse-r1	prototype-B	original-cb0	create_ns	21805.1640625	1.585739334848139	21770.6328125
root-reuse-r1	prototype-B	original-cb0	remove_ns	9165.984375	0.33406647771938414	9172.625
root-reuse-r1	prototype-B	original-cb1	create_ns	21593.703125	0.7778512639227265	21594.46484375
root-reuse-r1	prototype-B	original-cb1	remove_ns	9153.421875	0.36827514267428146	9147.64453125
root-reuse-r1	prototype-B	control-scx	create_ns	21560.2421875	0.7010642620086027	21546.24609375
root-reuse-r1	prototype-B	control-scx	remove_ns	9124.859375	0.6334543074001467	9137.1015625
