pair	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	11	512	512	512	512	1024	1024	512	0	0	0	0	0	4340881	8478.283203	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	12	512	512	512	512	1024	1024	512	0	0	0	0	0	4400031	8593.810547	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	13	512	512	512	512	1024	1024	512	0	0	0	0	0	4285638	8370.386719	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-a	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	89b67896-652a-4df6-83f8-1afd41f6c025	point	l0_standard_lifecycle	measured	14	512	512	512	512	1024	1024	512	0	0	0	0	0	4262601	8325.392578	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4694305	9168.564453	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4556036	8898.507812	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4612231	9008.263672	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4596022	8976.605469	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4530796	8849.210938	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4571799	8929.294922	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4472429	8735.212891	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4457556	8706.164062	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4430970	8654.238281	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
