pair	parent_commit	child_commit	parent_a_mean_ns	child_mean_ns	parent_b_mean_ns	child_vs_parent_midpoint_pct	drop_first_pct	parent_control_drift_pct	max_cv_pct
sq	02255d55260a6836423c8401628b58264e198973	8078486e1d53591ed946c943177339e59e3089e0	8447.192838	8874.057292	8526.430729	4.562909	4.626813	0.938038	2.060536
cq	8078486e1d53591ed946c943177339e59e3089e0	81a4058e0cd0f07139f088fbeb65bc488f687829	8851.177083	9155.872396	8924.004557	3.018609	2.909032	0.822800	2.362354
