experiment	point	scenario	metric_ns	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns	cv_percent
lifecycle-followup	p123-a	reuse-4096-64	interval_ns	480	9187	9402	9540	10483	11664	1.894782
lifecycle-followup	p123-b	serial-4096-64	registration_ns	480	49968	58226	84425	109625	121543	17.605523
lifecycle-followup	p123-b	serial-4096-64	fill_ns	480	7059	7221	7606	11661	22314	13.825884
lifecycle-followup	p123-b	serial-4096-64	interval_ns	480	57086	65487	91795	117093	133712	16.110280
lifecycle-followup	p123-b	paced-4096-64	registration_ns	480	66034	70791	81103	87745	90868	6.323817
lifecycle-followup	p123-b	paced-4096-64	fill_ns	480	12348	13072	13802	14764	25209	8.478948
lifecycle-followup	p123-b	paced-4096-64	interval_ns	480	79200	84008	96029	101422	104207	5.658154
lifecycle-followup	p123-b	paced-4096-4096	registration_ns	480	65818	71200	77984	85765	88420	5.581667
lifecycle-followup	p123-b	paced-4096-4096	fill_ns	480	438454	450283	463018	466295	468128	1.307291
lifecycle-followup	p123-b	paced-4096-4096	interval_ns	480	507136	525458	536775	538580	539240	1.285489
lifecycle-followup	p123-b	paced-128-128	registration_ns	480	3055	5034	5563	15772	20251	24.914593
lifecycle-followup	p123-b	paced-128-128	fill_ns	480	16704	19847	20798	31306	35188	8.615348
lifecycle-followup	p123-b	paced-128-128	interval_ns	480	19797	24904	26118	39469	40601	8.982197
lifecycle-followup	p123-b	reuse-4096-4096	removal_ns	480	144177	144613	146240	147096	148761	0.500319
lifecycle-followup	p123-b	reuse-4096-4096	fill_ns	480	428344	431615	433996	434449	435104	0.350166
lifecycle-followup	p123-b	reuse-4096-4096	interval_ns	480	573049	576680	579002	579773	580558	0.271220
lifecycle-followup	p123-b	reuse-4096-64	removal_ns	480	2327	2510	2536	2627	4366	5.108372
lifecycle-followup	p123-b	reuse-4096-64	fill_ns	480	6813	6973	7097	7209	10702	2.673647
lifecycle-followup	p123-b	reuse-4096-64	interval_ns	480	9213	9486	9630	9782	13065	2.313582
lifecycle-followup	p12-b	serial-4096-64	registration_ns	480	1373	1455	4593	5077	6298	57.586820
lifecycle-followup	p12-b	serial-4096-64	fill_ns	480	7584	8272	8854	11752	25384	11.909907
lifecycle-followup	p12-b	serial-4096-64	interval_ns	480	9026	9892	13105	14027	28231	15.299428
lifecycle-followup	p12-b	paced-4096-64	registration_ns	480	5313	5737	6765	16527	19539	21.588499
lifecycle-followup	p12-b	paced-4096-64	fill_ns	480	14352	15176	15968	25904	27609	8.080886
lifecycle-followup	p12-b	paced-4096-64	interval_ns	480	19890	21033	22457	33002	34552	8.463793
lifecycle-followup	p12-b	paced-4096-4096	registration_ns	480	5281	5645	6677	7054	17927	16.683316
lifecycle-followup	p12-b	paced-4096-4096	fill_ns	480	502020	516160	524133	527639	532253	1.239518
lifecycle-followup	p12-b	paced-4096-4096	interval_ns	480	507653	522195	529857	533606	539992	1.226453
lifecycle-followup	p12-b	paced-128-128	registration_ns	480	1677	1975	2323	2500	2780	8.336893
lifecycle-followup	p12-b	paced-128-128	fill_ns	480	22481	23364	24220	34710	35565	6.794610
lifecycle-followup	p12-b	paced-128-128	interval_ns	480	24456	25404	26229	36854	37771	6.311147
lifecycle-followup	p12-b	reuse-4096-4096	removal_ns	480	233547	235698	237708	238741	241567	0.485512
lifecycle-followup	p12-b	reuse-4096-4096	fill_ns	480	470941	474723	477459	481150	557018	0.897302
lifecycle-followup	p12-b	reuse-4096-4096	interval_ns	480	705344	710468	713519	718141	792466	0.610720
lifecycle-followup	p12-b	reuse-4096-64	removal_ns	480	2306	2476	2506	2572	4542	4.375382
lifecycle-followup	p12-b	reuse-4096-64	fill_ns	480	6819	6904	7018	7109	8181	1.358553
lifecycle-followup	p12-b	reuse-4096-64	interval_ns	480	9173	9390	9509	9623	11523	1.505320
lifecycle-followup	unpatched-b	serial-4096-64	registration_ns	480	1373	1462	4534	5095	5360	56.535149
lifecycle-followup	unpatched-b	serial-4096-64	fill_ns	480	7731	8052	8840	9351	14151	6.763575
lifecycle-followup	unpatched-b	serial-4096-64	interval_ns	480	9156	9935	13166	13980	16042	13.417842
lifecycle-followup	unpatched-b	paced-4096-64	registration_ns	480	5240	5747	6820	7443	20012	18.033605
lifecycle-followup	unpatched-b	paced-4096-64	fill_ns	480	13302	14162	14912	25058	26732	8.814981
lifecycle-followup	unpatched-b	paced-4096-64	interval_ns	480	18852	20003	21492	32065	33839	8.139833
lifecycle-followup	unpatched-b	paced-4096-4096	registration_ns	480	5333	5817	6847	7239	18135	11.776923
lifecycle-followup	unpatched-b	paced-4096-4096	fill_ns	480	502300	510392	520856	524156	526118	1.224808
lifecycle-followup	unpatched-b	paced-4096-4096	interval_ns	480	508070	516810	526693	531026	532302	1.211278
lifecycle-followup	unpatched-b	paced-128-128	registration_ns	480	1645	1993	2410	2720	3410	10.723596
lifecycle-followup	unpatched-b	paced-128-128	fill_ns	480	21061	21905	22833	33544	36899	9.058682
lifecycle-followup	unpatched-b	paced-128-128	interval_ns	480	22812	23938	25152	35597	39254	8.333482
lifecycle-followup	unpatched-b	reuse-4096-4096	removal_ns	480	229437	232956	235577	244228	245101	0.900587
lifecycle-followup	unpatched-b	reuse-4096-4096	fill_ns	480	475583	479078	480980	482006	506961	0.365478
lifecycle-followup	unpatched-b	reuse-4096-4096	interval_ns	480	707038	712195	715583	723343	739893	0.378981
lifecycle-followup	unpatched-b	reuse-4096-64	removal_ns	480	2302	2476	2555	2659	2670	2.422761
lifecycle-followup	unpatched-b	reuse-4096-64	fill_ns	480	6817	6951	7112	7231	8423	1.828695
lifecycle-followup	unpatched-b	reuse-4096-64	interval_ns	480	9167	9443	9640	9765	10908	1.496051
