experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
original-v3	unpatched-b	original-F0-4096	10	1	NA	NA	490371	490371	119.719482	1
original-v3	unpatched-b	original-F0-4096	11	1	NA	NA	492172	492172	120.159180	1
original-v3	unpatched-b	original-F0-4096	12	1	NA	NA	500122	500122	122.100098	1
original-v3	unpatched-b	original-F0-4096	13	1	NA	NA	488584	488584	119.283203	1
original-v3	unpatched-b	original-F0-4096	14	1	NA	NA	491825	491825	120.074463	1
original-v3	unpatched-b	4096/4096	0	32	1781.562500	NA	477939.906250	479738.500000	NA	1
original-v3	unpatched-b	4096/4096	1	32	1534.625000	NA	476297.125000	477847.218750	NA	1
original-v3	unpatched-b	4096/4096	2	32	1593.281250	NA	476787.468750	478396.281250	NA	1
original-v3	unpatched-b	4096/4096	3	32	1448.093750	NA	476162.531250	477626.312500	NA	1
original-v3	unpatched-b	4096/4096	4	32	1466.250000	NA	476976.031250	478457.843750	NA	1
original-v3	unpatched-b	4096/4096	5	32	1448.906250	NA	476322.281250	477786.656250	NA	1
original-v3	unpatched-b	4096/4096	6	32	1451.031250	NA	477526.343750	478993.093750	NA	1
original-v3	unpatched-b	4096/4096	7	32	1455.562500	NA	477583.812500	479055.062500	NA	1
original-v3	unpatched-b	4096/4096	8	32	1447.468750	NA	476237.187500	477700.406250	NA	1
original-v3	unpatched-b	4096/4096	9	32	1453.812500	NA	476470.187500	477939.625000	NA	1
original-v3	unpatched-b	4096/4096	10	32	1517.437500	NA	476996.562500	478529.625000	NA	1
original-v3	unpatched-b	4096/4096	11	32	1458.687500	NA	479811.218750	481285.218750	NA	1
original-v3	unpatched-b	4096/4096	12	32	1449.843750	NA	476515.156250	477980.500000	NA	1
original-v3	unpatched-b	4096/4096	13	32	1447.125000	NA	477591.656250	479054.343750	NA	1
original-v3	unpatched-b	4096/4096	14	32	1462.812500	NA	476409.156250	477887.625000	NA	1
original-v3	unpatched-b	4096/64	0	32	2027.531250	NA	8201.281250	10244.937500	NA	1
original-v3	unpatched-b	4096/64	1	32	2098.562500	NA	8179.906250	10294.218750	NA	1
original-v3	unpatched-b	4096/64	2	32	2095.156250	NA	8152.468750	10263.343750	NA	1
original-v3	unpatched-b	4096/64	3	32	2038.187500	NA	8204.500000	10258.375000	NA	1
original-v3	unpatched-b	4096/64	4	32	2070.125000	NA	8181.062500	10266.625000	NA	1
original-v3	unpatched-b	4096/64	5	32	2115.031250	NA	8185.000000	10316.031250	NA	1
original-v3	unpatched-b	4096/64	6	32	1924.250000	NA	8175.187500	10115.093750	NA	1
original-v3	unpatched-b	4096/64	7	32	2122.875000	NA	8158.531250	10296.812500	NA	1
original-v3	unpatched-b	4096/64	8	32	2171.781250	NA	8163.093750	10350.531250	NA	1
original-v3	unpatched-b	4096/64	9	32	2182.906250	NA	8331.250000	10529.812500	NA	1
original-v3	unpatched-b	4096/64	10	32	1669.500000	NA	8063.843750	9749.093750	NA	1
original-v3	unpatched-b	4096/64	11	32	2047.906250	NA	8166.656250	10230.437500	NA	1
original-v3	unpatched-b	4096/64	12	32	2180.250000	NA	8152.281250	10348.406250	NA	1
original-v3	unpatched-b	4096/64	13	32	1656.125000	NA	8117.031250	9789.000000	NA	1
original-v3	unpatched-b	4096/64	14	32	1772.437500	NA	8246.656250	10034.687500	NA	1
original-v3	unpatched-b	128/128	0	32	421.937500	NA	16138.093750	16576.968750	NA	1
original-v3	unpatched-b	128/128	1	32	378.437500	NA	16115.968750	16510.218750	NA	1
original-v3	unpatched-b	128/128	2	32	353.343750	NA	16972.031250	17341.125000	NA	1
original-v3	unpatched-b	128/128	3	32	379.093750	NA	15867.687500	16262.937500	NA	1
original-v3	unpatched-b	128/128	4	32	451.125000	NA	15824.718750	16291.125000	NA	1
original-v3	unpatched-b	128/128	5	32	340.968750	NA	15991.312500	16348.062500	NA	1
original-v3	unpatched-b	128/128	6	32	326.375000	NA	15784.250000	16126.250000	NA	1
original-v3	unpatched-b	128/128	7	32	426.000000	NA	15754.187500	16196.187500	NA	1
original-v3	unpatched-b	128/128	8	32	451.750000	NA	16102.625000	16569.843750	NA	1
original-v3	unpatched-b	128/128	9	32	357.343750	NA	15921.937500	16295.218750	NA	1
original-v3	unpatched-b	128/128	10	32	327.281250	NA	15970.093750	16313.500000	NA	1
original-v3	unpatched-b	128/128	11	32	429.281250	NA	16191.875000	16637.031250	NA	1
original-v3	unpatched-b	128/128	12	32	417.250000	NA	15845.562500	16278.593750	NA	1
original-v3	unpatched-b	128/128	13	32	328.500000	NA	15630.812500	15974.937500	NA	1
original-v3	unpatched-b	128/128	14	32	335.843750	NA	15934.625000	16286.250000	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	0	32	2110.843750	0.000000	8198.437500	10328.156250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	1	32	2146.906250	0.000000	8385.000000	10547.593750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	2	32	2179.093750	0.000000	8238.718750	10434.031250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	3	32	2199.187500	0.000000	8217.625000	10433.343750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	4	32	2206.062500	0.000000	8221.093750	10443.500000	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	5	32	2228.031250	0.000000	8239.156250	10483.406250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	6	32	2191.125000	0.000000	8304.468750	10512.093750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	7	32	2171.312500	0.000000	8211.875000	10399.781250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	8	32	2187.906250	0.000000	8224.843750	10429.718750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	9	32	2155.156250	0.000000	8207.875000	10378.468750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	10	32	2230.187500	0.000000	8226.500000	10474.656250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	11	32	1824.250000	0.000000	8200.718750	10041.906250	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	12	32	1685.250000	0.000000	8231.531250	9933.718750	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	13	32	2018.281250	0.000000	8234.968750	10270.187500	NA	1
lifecycle-followup	unpatched-a	serial-4096-64	14	32	1937.343750	0.000000	8515.843750	10469.062500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	0	32	5828.531250	0.000000	14596.281250	20453.843750	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	1	32	5780.500000	0.000000	14475.000000	20285.812500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	2	32	5903.437500	0.000000	15056.343750	20989.937500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	3	32	5881.250000	0.000000	14317.562500	20228.250000	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	4	32	5883.218750	0.000000	14774.437500	20686.062500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	5	32	5908.625000	0.000000	14215.781250	20154.093750	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	6	32	5805.218750	0.000000	14122.968750	19959.375000	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	7	32	5870.562500	0.000000	14235.218750	20137.437500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	8	32	5849.468750	0.000000	14586.750000	20465.937500	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	9	32	5914.187500	0.000000	14134.343750	20078.343750	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	10	32	5838.468750	0.000000	14422.156250	20289.625000	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	11	32	6151.468750	0.000000	14167.812500	20349.093750	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	12	32	6292.093750	0.000000	14729.968750	21052.750000	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	13	32	5905.468750	0.000000	14264.406250	20197.750000	NA	1
lifecycle-followup	unpatched-a	paced-4096-64	14	32	5867.718750	0.000000	14565.343750	20462.531250	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	0	32	6296.843750	0.000000	513236.531250	519558.875000	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	1	32	5942.250000	0.000000	513596.343750	519564.500000	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	2	32	5984.625000	0.000000	512493.031250	518503.968750	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	3	32	5989.625000	0.000000	513073.468750	519088.937500	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	4	32	5986.875000	0.000000	512447.531250	518460.531250	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	5	32	6061.687500	0.000000	513958.937500	520046.718750	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	6	32	5998.718750	0.000000	512230.687500	518255.250000	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	7	32	6327.562500	0.000000	513871.375000	520224.687500	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	8	32	5950.718750	0.000000	513743.281250	519720.250000	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	9	32	6017.906250	0.000000	512023.250000	518067.062500	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	10	32	5993.250000	0.000000	513546.562500	519566.375000	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	11	32	6031.062500	0.000000	512089.656250	518146.718750	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	12	32	6328.031250	0.000000	512828.000000	519181.656250	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	13	32	5899.937500	0.000000	513038.343750	518964.281250	NA	1
lifecycle-followup	unpatched-a	paced-4096-4096	14	32	6019.468750	0.000000	512687.343750	518732.968750	NA	1
lifecycle-followup	unpatched-a	paced-128-128	0	32	2095.437500	0.000000	22546.031250	24670.718750	NA	1
lifecycle-followup	unpatched-a	paced-128-128	1	32	2088.562500	0.000000	22465.843750	24582.937500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	2	32	2077.500000	0.000000	22899.156250	25004.562500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	3	32	2126.281250	0.000000	22639.781250	24793.625000	NA	1
lifecycle-followup	unpatched-a	paced-128-128	4	32	2381.812500	0.000000	22962.343750	25371.500000	NA	1
lifecycle-followup	unpatched-a	paced-128-128	5	32	2084.000000	0.000000	22910.156250	25025.187500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	6	32	2091.593750	0.000000	22967.062500	25087.718750	NA	1
lifecycle-followup	unpatched-a	paced-128-128	7	32	2085.593750	0.000000	22602.625000	24715.937500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	8	32	2098.406250	0.000000	23017.781250	25146.437500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	9	32	2060.906250	0.000000	23372.218750	25462.406250	NA	1
lifecycle-followup	unpatched-a	paced-128-128	10	32	2124.500000	0.000000	22466.843750	24619.687500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	11	32	2120.968750	0.000000	23367.812500	25519.812500	NA	1
lifecycle-followup	unpatched-a	paced-128-128	12	32	2086.906250	0.000000	23050.000000	25165.156250	NA	1
lifecycle-followup	unpatched-a	paced-128-128	13	32	2105.468750	0.000000	22511.531250	24646.093750	NA	1
lifecycle-followup	unpatched-a	paced-128-128	14	32	2142.281250	0.000000	22494.375000	24665.937500	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	0	32	0.000000	233079.562500	479912.375000	713011.093750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	1	32	0.000000	233178.937500	479827.531250	713022.093750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	2	32	0.000000	233453.812500	479787.062500	713256.375000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	3	32	0.000000	232760.093750	479298.875000	712074.343750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	4	32	0.000000	232784.375000	479761.312500	712561.500000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	5	32	0.000000	232777.375000	480011.437500	712804.375000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	6	32	0.000000	232526.000000	479564.250000	712106.093750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	7	32	0.000000	233083.156250	479528.062500	712627.062500	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	8	32	0.000000	233142.062500	479753.156250	712910.843750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	9	32	0.000000	232715.250000	479470.187500	712201.062500	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	10	32	0.000000	232932.937500	479483.218750	712431.812500	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	11	32	0.000000	232849.500000	479760.312500	712625.406250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	12	32	0.000000	232579.437500	479397.468750	711992.718750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	13	32	0.000000	232325.125000	479538.000000	711878.718750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-4096	14	32	0.000000	232418.500000	479464.312500	711898.625000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	0	32	0.000000	2334.656250	7048.593750	9399.156250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	1	32	0.000000	2348.656250	6971.968750	9336.843750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	2	32	0.000000	2487.343750	6997.750000	9500.593750	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	3	32	0.000000	2567.062500	6949.937500	9534.375000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	4	32	0.000000	2493.312500	6957.312500	9469.781250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	5	32	0.000000	2490.781250	6942.593750	9449.281250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	6	32	0.000000	2484.843750	6986.000000	9486.781250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	7	32	0.000000	2481.937500	6991.781250	9489.750000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	8	32	0.000000	2486.093750	6938.250000	9443.531250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	9	32	0.000000	2488.500000	6946.375000	9450.625000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	10	32	0.000000	2489.406250	6983.906250	9489.125000	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	11	32	0.000000	2489.000000	6981.750000	9489.781250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	12	32	0.000000	2483.093750	6934.843750	9433.656250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	13	32	0.000000	2488.000000	6935.125000	9438.906250	NA	1
lifecycle-followup	unpatched-a	reuse-4096-64	14	32	0.000000	2525.781250	6965.875000	9507.468750	NA	1
lifecycle-followup	p12-a	serial-4096-64	0	32	2023.843750	0.000000	8389.062500	10429.437500	NA	1
lifecycle-followup	p12-a	serial-4096-64	1	32	2049.656250	0.000000	8270.250000	10335.562500	NA	1
lifecycle-followup	p12-a	serial-4096-64	2	32	2078.437500	0.000000	8171.468750	10265.375000	NA	1
lifecycle-followup	p12-a	serial-4096-64	3	32	2048.125000	0.000000	8163.968750	10227.781250	NA	1
lifecycle-followup	p12-a	serial-4096-64	4	32	2147.531250	0.000000	8215.093750	10378.062500	NA	1
lifecycle-followup	p12-a	serial-4096-64	5	32	2127.062500	0.000000	8192.125000	10334.625000	NA	1
lifecycle-followup	p12-a	serial-4096-64	6	32	2038.687500	0.000000	8150.281250	10204.562500	NA	1
lifecycle-followup	p12-a	serial-4096-64	7	32	2080.750000	0.000000	8153.156250	10249.250000	NA	1
lifecycle-followup	p12-a	serial-4096-64	8	32	1877.562500	0.000000	17477.343750	19370.375000	NA	1
lifecycle-followup	p12-a	serial-4096-64	9	32	2012.687500	0.000000	8166.937500	10194.968750	NA	1
lifecycle-followup	p12-a	serial-4096-64	10	32	1538.312500	0.000000	17195.593750	18749.437500	NA	1
lifecycle-followup	p12-a	serial-4096-64	11	32	1752.625000	0.000000	8229.156250	9997.687500	NA	1
lifecycle-followup	p12-a	serial-4096-64	12	32	1556.875000	0.000000	8457.750000	10029.843750	NA	1
lifecycle-followup	p12-a	serial-4096-64	13	32	1856.781250	0.000000	8214.750000	10087.156250	NA	1
lifecycle-followup	p12-a	serial-4096-64	14	32	1534.781250	0.000000	8196.562500	9746.812500	NA	1
lifecycle-followup	p12-a	paced-4096-64	0	32	5794.843750	0.000000	15092.000000	20915.406250	NA	1
lifecycle-followup	p12-a	paced-4096-64	1	32	5878.625000	0.000000	15028.343750	20935.062500	NA	1
lifecycle-followup	p12-a	paced-4096-64	2	32	5821.843750	0.000000	15599.093750	21449.312500	NA	1
lifecycle-followup	p12-a	paced-4096-64	3	32	5945.437500	0.000000	14976.593750	20950.250000	NA	1
lifecycle-followup	p12-a	paced-4096-64	4	32	5808.781250	0.000000	15037.062500	20872.500000	NA	1
lifecycle-followup	p12-a	paced-4096-64	5	32	5856.281250	0.000000	14986.531250	20871.250000	NA	1
lifecycle-followup	p12-a	paced-4096-64	6	32	6160.562500	0.000000	15072.531250	21260.000000	NA	1
lifecycle-followup	p12-a	paced-4096-64	7	32	5650.593750	0.000000	14908.656250	20588.625000	NA	1
lifecycle-followup	p12-a	paced-4096-64	8	32	6233.093750	0.000000	15426.687500	21688.656250	NA	1
lifecycle-followup	p12-a	paced-4096-64	9	32	5817.718750	0.000000	15033.906250	20879.000000	NA	1
lifecycle-followup	p12-a	paced-4096-64	10	32	5793.093750	0.000000	14913.937500	20735.468750	NA	1
lifecycle-followup	p12-a	paced-4096-64	11	32	5796.968750	0.000000	15037.062500	20861.093750	NA	1
lifecycle-followup	p12-a	paced-4096-64	12	32	5839.406250	0.000000	15535.781250	21404.875000	NA	1
lifecycle-followup	p12-a	paced-4096-64	13	32	5779.437500	0.000000	15089.218750	20897.718750	NA	1
lifecycle-followup	p12-a	paced-4096-64	14	32	5708.062500	0.000000	15082.718750	20818.125000	NA	1
lifecycle-followup	p12-a	paced-4096-4096	0	32	5671.687500	0.000000	515973.062500	521670.843750	NA	1
lifecycle-followup	p12-a	paced-4096-4096	1	32	5765.593750	0.000000	514140.406250	519932.250000	NA	1
lifecycle-followup	p12-a	paced-4096-4096	2	32	5715.062500	0.000000	514980.500000	520721.437500	NA	1
lifecycle-followup	p12-a	paced-4096-4096	3	32	6101.781250	0.000000	515681.500000	521808.781250	NA	1
lifecycle-followup	p12-a	paced-4096-4096	4	32	5813.125000	0.000000	514793.312500	520632.093750	NA	1
lifecycle-followup	p12-a	paced-4096-4096	5	32	5762.031250	0.000000	514466.031250	520253.687500	NA	1
lifecycle-followup	p12-a	paced-4096-4096	6	32	5814.843750	0.000000	514567.468750	520407.812500	NA	1
lifecycle-followup	p12-a	paced-4096-4096	7	32	6102.812500	0.000000	513799.750000	519928.250000	NA	1
lifecycle-followup	p12-a	paced-4096-4096	8	32	6142.000000	0.000000	514398.187500	520565.875000	NA	1
lifecycle-followup	p12-a	paced-4096-4096	9	32	6101.312500	0.000000	514811.593750	520938.500000	NA	1
lifecycle-followup	p12-a	paced-4096-4096	10	32	5704.343750	0.000000	515633.718750	521364.031250	NA	1
lifecycle-followup	p12-a	paced-4096-4096	11	32	5832.750000	0.000000	514473.875000	520332.531250	NA	1
lifecycle-followup	p12-a	paced-4096-4096	12	32	5723.875000	0.000000	515537.093750	521286.843750	NA	1
lifecycle-followup	p12-a	paced-4096-4096	13	32	6046.468750	0.000000	513886.187500	519958.406250	NA	1
lifecycle-followup	p12-a	paced-4096-4096	14	32	5775.750000	0.000000	515288.093750	521089.687500	NA	1
lifecycle-followup	p12-a	paced-128-128	0	32	1914.937500	0.000000	23145.812500	25089.812500	NA	1
lifecycle-followup	p12-a	paced-128-128	1	32	1834.250000	0.000000	24118.500000	25982.531250	NA	1
lifecycle-followup	p12-a	paced-128-128	2	32	1910.625000	0.000000	23142.375000	25081.750000	NA	1
lifecycle-followup	p12-a	paced-128-128	3	32	1929.468750	0.000000	23090.718750	25049.000000	NA	1
lifecycle-followup	p12-a	paced-128-128	4	32	1886.625000	0.000000	23888.750000	25803.156250	NA	1
lifecycle-followup	p12-a	paced-128-128	5	32	1850.531250	0.000000	23211.312500	25089.218750	NA	1
lifecycle-followup	p12-a	paced-128-128	6	32	1920.250000	0.000000	23110.843750	25060.750000	NA	1
lifecycle-followup	p12-a	paced-128-128	7	32	1818.062500	0.000000	23204.468750	25051.531250	NA	1
lifecycle-followup	p12-a	paced-128-128	8	32	1889.500000	0.000000	23217.875000	25135.343750	NA	1
lifecycle-followup	p12-a	paced-128-128	9	32	1840.937500	0.000000	23620.343750	25490.125000	NA	1
lifecycle-followup	p12-a	paced-128-128	10	32	1865.031250	0.000000	23581.031250	25474.437500	NA	1
lifecycle-followup	p12-a	paced-128-128	11	32	1919.750000	0.000000	23135.218750	25082.531250	NA	1
lifecycle-followup	p12-a	paced-128-128	12	32	1909.500000	0.000000	23598.343750	25535.968750	NA	1
lifecycle-followup	p12-a	paced-128-128	13	32	1886.687500	0.000000	23090.781250	25006.656250	NA	1
lifecycle-followup	p12-a	paced-128-128	14	32	1886.250000	0.000000	23567.125000	25482.875000	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	0	32	0.000000	235508.312500	474550.500000	710076.437500	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	1	32	0.000000	235488.625000	474598.656250	710103.781250	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	2	32	0.000000	235309.562500	473920.875000	709246.218750	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	3	32	0.000000	235297.531250	474549.843750	709863.437500	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	4	32	0.000000	235323.156250	474612.750000	709951.968750	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	5	32	0.000000	235449.031250	474567.468750	710032.406250	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	6	32	0.000000	235505.906250	474340.625000	709862.531250	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	7	32	0.000000	235520.843750	474716.406250	710253.031250	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	8	32	0.000000	235600.375000	474374.468750	709990.625000	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	9	32	0.000000	235483.500000	474563.812500	710063.125000	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	10	32	0.000000	235816.375000	474392.312500	710224.625000	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	11	32	0.000000	235946.062500	474612.781250	710574.937500	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	12	32	0.000000	235641.187500	474596.125000	710253.031250	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	13	32	0.000000	235396.125000	474307.593750	709719.343750	NA	1
lifecycle-followup	p12-a	reuse-4096-4096	14	32	0.000000	235422.687500	474649.718750	710088.406250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	0	32	0.000000	2327.406250	6953.187500	9296.750000	NA	1
lifecycle-followup	p12-a	reuse-4096-64	1	32	0.000000	2370.187500	6951.656250	9337.937500	NA	1
lifecycle-followup	p12-a	reuse-4096-64	2	32	0.000000	2472.718750	6950.406250	9438.906250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	3	32	0.000000	2478.062500	6977.718750	9471.656250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	4	32	0.000000	2468.718750	6938.000000	9422.781250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	5	32	0.000000	2471.281250	6931.250000	9418.156250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	6	32	0.000000	2473.250000	6926.250000	9415.125000	NA	1
lifecycle-followup	p12-a	reuse-4096-64	7	32	0.000000	2468.968750	6979.531250	9464.218750	NA	1
lifecycle-followup	p12-a	reuse-4096-64	8	32	0.000000	2509.375000	6942.250000	9467.406250	NA	1
lifecycle-followup	p12-a	reuse-4096-64	9	32	0.000000	2474.656250	6945.031250	9435.312500	NA	1
lifecycle-followup	p12-a	reuse-4096-64	10	32	0.000000	2473.812500	6944.718750	9434.343750	NA	1
lifecycle-followup	p12-a	reuse-4096-64	11	32	0.000000	2470.500000	6935.812500	9422.062500	NA	1
lifecycle-followup	p12-a	reuse-4096-64	12	32	0.000000	2473.656250	6945.250000	9434.687500	NA	1
lifecycle-followup	p12-a	reuse-4096-64	13	32	0.000000	2472.843750	6963.812500	9452.562500	NA	1
lifecycle-followup	p12-a	reuse-4096-64	14	32	0.000000	2473.093750	6944.343750	9433.187500	NA	1
lifecycle-followup	p123-a	serial-4096-64	0	32	60397.500000	0.000000	7373.000000	67786.593750	NA	1
lifecycle-followup	p123-a	serial-4096-64	1	32	60117.656250	0.000000	7322.218750	67455.906250	NA	1
lifecycle-followup	p123-a	serial-4096-64	2	32	57460.656250	0.000000	7281.062500	64758.375000	NA	1
lifecycle-followup	p123-a	serial-4096-64	3	32	63548.625000	0.000000	7322.468750	70886.937500	NA	1
lifecycle-followup	p123-a	serial-4096-64	4	32	61336.718750	0.000000	7422.937500	68775.312500	NA	1
lifecycle-followup	p123-a	serial-4096-64	5	32	88613.500000	0.000000	7760.093750	96395.406250	NA	1
lifecycle-followup	p123-a	serial-4096-64	6	32	64649.843750	0.000000	7321.500000	71987.687500	NA	1
lifecycle-followup	p123-a	serial-4096-64	7	32	68971.281250	0.000000	7465.093750	76452.812500	NA	1
lifecycle-followup	p123-a	serial-4096-64	8	32	66119.000000	0.000000	7490.531250	73625.937500	NA	1
lifecycle-followup	p123-a	serial-4096-64	9	32	56260.468750	0.000000	7200.843750	63477.343750	NA	1
lifecycle-followup	p123-a	serial-4096-64	10	32	69089.968750	0.000000	7443.375000	76549.250000	NA	1
lifecycle-followup	p123-a	serial-4096-64	11	32	70525.406250	0.000000	7355.375000	77899.156250	NA	1
lifecycle-followup	p123-a	serial-4096-64	12	32	77852.968750	0.000000	7377.000000	85246.500000	NA	1
lifecycle-followup	p123-a	serial-4096-64	13	32	55792.593750	0.000000	7224.406250	63032.218750	NA	1
lifecycle-followup	p123-a	serial-4096-64	14	32	81467.281250	0.000000	7612.968750	89096.218750	NA	1
lifecycle-followup	p123-a	paced-4096-64	0	32	68787.593750	0.000000	13407.687500	82221.281250	NA	1
lifecycle-followup	p123-a	paced-4096-64	1	32	70426.875000	0.000000	12942.968750	83397.250000	NA	1
lifecycle-followup	p123-a	paced-4096-64	2	32	70283.312500	0.000000	12966.656250	83274.000000	NA	1
lifecycle-followup	p123-a	paced-4096-64	3	32	69035.937500	0.000000	12873.593750	81935.343750	NA	1
lifecycle-followup	p123-a	paced-4096-64	4	32	70340.031250	0.000000	13105.937500	83471.468750	NA	1
lifecycle-followup	p123-a	paced-4096-64	5	32	70948.750000	0.000000	13555.937500	84529.937500	NA	1
lifecycle-followup	p123-a	paced-4096-64	6	32	71548.843750	0.000000	13131.875000	84707.093750	NA	1
lifecycle-followup	p123-a	paced-4096-64	7	32	70778.875000	0.000000	12993.968750	83799.312500	NA	1
lifecycle-followup	p123-a	paced-4096-64	8	32	70616.312500	0.000000	12905.062500	83547.531250	NA	1
lifecycle-followup	p123-a	paced-4096-64	9	32	70564.781250	0.000000	12942.125000	83531.750000	NA	1
lifecycle-followup	p123-a	paced-4096-64	10	32	70015.375000	0.000000	13325.031250	83365.750000	NA	1
lifecycle-followup	p123-a	paced-4096-64	11	32	70748.187500	0.000000	13362.750000	84137.406250	NA	1
lifecycle-followup	p123-a	paced-4096-64	12	32	69880.593750	0.000000	12985.437500	82892.125000	NA	1
lifecycle-followup	p123-a	paced-4096-64	13	32	69937.281250	0.000000	13304.375000	83266.875000	NA	1
lifecycle-followup	p123-a	paced-4096-64	14	32	69357.218750	0.000000	12785.937500	82168.750000	NA	1
