experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
original-v3	unpatched-a	128/128	14	32	435.218750	NA	16179.218750	16632.875000	NA	1
original-v3	p12-a	original-F0-4096	0	1	NA	NA	482547	482547	117.809326	1
original-v3	p12-a	original-F0-4096	1	1	NA	NA	483834	483834	118.123535	1
original-v3	p12-a	original-F0-4096	2	1	NA	NA	482098	482098	117.699707	1
original-v3	p12-a	original-F0-4096	3	1	NA	NA	482686	482686	117.843262	1
original-v3	p12-a	original-F0-4096	4	1	NA	NA	482324	482324	117.754883	1
original-v3	p12-a	original-F0-4096	5	1	NA	NA	479548	479548	117.077148	1
original-v3	p12-a	original-F0-4096	6	1	NA	NA	495567	495567	120.988037	1
original-v3	p12-a	original-F0-4096	7	1	NA	NA	481592	481592	117.576172	1
original-v3	p12-a	original-F0-4096	8	1	NA	NA	482192	482192	117.722656	1
original-v3	p12-a	original-F0-4096	9	1	NA	NA	480951	480951	117.419678	1
original-v3	p12-a	original-F0-4096	10	1	NA	NA	480079	480079	117.206787	1
original-v3	p12-a	original-F0-4096	11	1	NA	NA	483519	483519	118.046631	1
original-v3	p12-a	original-F0-4096	12	1	NA	NA	480663	480663	117.349365	1
original-v3	p12-a	original-F0-4096	13	1	NA	NA	492716	492716	120.291992	1
original-v3	p12-a	original-F0-4096	14	1	NA	NA	483172	483172	117.961914	1
original-v3	p12-a	4096/4096	0	32	1714.187500	NA	481210.718750	482942.437500	NA	1
original-v3	p12-a	4096/4096	1	32	1589.250000	NA	478743.718750	480349.375000	NA	1
original-v3	p12-a	4096/4096	2	32	1527.093750	NA	479512.875000	481056.031250	NA	1
original-v3	p12-a	4096/4096	3	32	1584.781250	NA	478959.875000	480560.281250	NA	1
original-v3	p12-a	4096/4096	4	32	1535.687500	NA	479941.593750	481493.406250	NA	1
original-v3	p12-a	4096/4096	5	32	1538.000000	NA	477988.125000	479541.812500	NA	1
original-v3	p12-a	4096/4096	6	32	1464.218750	NA	477610.625000	479090.281250	NA	1
original-v3	p12-a	4096/4096	7	32	1452.937500	NA	477639.156250	479107.531250	NA	1
original-v3	p12-a	4096/4096	8	32	1458.125000	NA	478447.125000	479920.812500	NA	1
original-v3	p12-a	4096/4096	9	32	1451.218750	NA	478152.312500	479619.093750	NA	1
original-v3	p12-a	4096/4096	10	32	1459.968750	NA	478398.937500	479874.218750	NA	1
original-v3	p12-a	4096/4096	11	32	1452.031250	NA	479349.156250	480816.562500	NA	1
original-v3	p12-a	4096/4096	12	32	1543.375000	NA	479053.968750	480612.875000	NA	1
original-v3	p12-a	4096/4096	13	32	1457.625000	NA	477989.687500	479462.468750	NA	1
original-v3	p12-a	4096/4096	14	32	1492.468750	NA	479284.000000	480792.000000	NA	1
