experiment	case	metric	point	sample	operations	warmups	mean_ns
stage-followup	paced50	cycle_ns	A2	6	128	16	81894.25
stage-followup	paced50	cycle_ns	A2	7	128	16	80632.2421875
stage-followup	paced50	cycle_ns	A2	8	128	16	81803.7578125
stage-followup	paced50	cycle_ns	A2	9	128	16	80040.5625
stage-followup	paced50	workload_wall_per_cycle_ns	A1	1	128	16	50359206.6484375
stage-followup	paced50	workload_wall_per_cycle_ns	A1	2	128	16	50359240.5234375
stage-followup	paced50	workload_wall_per_cycle_ns	A1	3	128	16	50360227.0703125
stage-followup	paced50	workload_wall_per_cycle_ns	A1	4	128	16	50351381.4921875
stage-followup	paced50	workload_wall_per_cycle_ns	A1	5	128	16	50352839.015625
stage-followup	paced50	workload_wall_per_cycle_ns	A1	6	128	16	50360407.828125
stage-followup	paced50	workload_wall_per_cycle_ns	A1	7	128	16	50350029.765625
stage-followup	paced50	workload_wall_per_cycle_ns	A1	8	128	16	50362532.234375
stage-followup	paced50	workload_wall_per_cycle_ns	A1	9	128	16	50353602.9765625
stage-followup	paced50	workload_wall_per_cycle_ns	B1	1	128	16	50361547.1171875
stage-followup	paced50	workload_wall_per_cycle_ns	B1	2	128	16	50360480.6015625
stage-followup	paced50	workload_wall_per_cycle_ns	B1	3	128	16	50361230.6953125
stage-followup	paced50	workload_wall_per_cycle_ns	B1	4	128	16	50365481.2265625
stage-followup	paced50	workload_wall_per_cycle_ns	B1	5	128	16	50360779.734375
stage-followup	paced50	workload_wall_per_cycle_ns	B1	6	128	16	50363039.609375
stage-followup	paced50	workload_wall_per_cycle_ns	B1	7	128	16	50357904.8203125
stage-followup	paced50	workload_wall_per_cycle_ns	B1	8	128	16	50359878.828125
stage-followup	paced50	workload_wall_per_cycle_ns	B1	9	128	16	50351744.2734375
stage-followup	paced50	workload_wall_per_cycle_ns	B2	1	128	16	50359421.0234375
stage-followup	paced50	workload_wall_per_cycle_ns	B2	2	128	16	50361851.296875
stage-followup	paced50	workload_wall_per_cycle_ns	B2	3	128	16	50362215.5390625
stage-followup	paced50	workload_wall_per_cycle_ns	B2	4	128	16	50367546.0546875
stage-followup	paced50	workload_wall_per_cycle_ns	B2	5	128	16	50367724.0234375
stage-followup	paced50	workload_wall_per_cycle_ns	B2	6	128	16	50366422.9140625
stage-followup	paced50	workload_wall_per_cycle_ns	B2	7	128	16	50372095.8046875
stage-followup	paced50	workload_wall_per_cycle_ns	B2	8	128	16	50359008.0
stage-followup	paced50	workload_wall_per_cycle_ns	B2	9	128	16	50366058.7890625
stage-followup	paced50	workload_wall_per_cycle_ns	A2	1	128	16	50360216.15625
stage-followup	paced50	workload_wall_per_cycle_ns	A2	2	128	16	50361736.75
stage-followup	paced50	workload_wall_per_cycle_ns	A2	3	128	16	50356552.90625
stage-followup	paced50	workload_wall_per_cycle_ns	A2	4	128	16	50356276.1328125
stage-followup	paced50	workload_wall_per_cycle_ns	A2	5	128	16	50359056.390625
stage-followup	paced50	workload_wall_per_cycle_ns	A2	6	128	16	50361437.1796875
stage-followup	paced50	workload_wall_per_cycle_ns	A2	7	128	16	50363958.7734375
stage-followup	paced50	workload_wall_per_cycle_ns	A2	8	128	16	50365308.828125
stage-followup	paced50	workload_wall_per_cycle_ns	A2	9	128	16	50362345.7421875
stage-followup	paced50	between_stage_ns	A1	1	128	16	51.90625
stage-followup	paced50	between_stage_ns	A1	2	128	16	49.578125
stage-followup	paced50	between_stage_ns	A1	3	128	16	50.109375
stage-followup	paced50	between_stage_ns	A1	4	128	16	50.1484375
stage-followup	paced50	between_stage_ns	A1	5	128	16	50.5625
stage-followup	paced50	between_stage_ns	A1	6	128	16	50.40625
stage-followup	paced50	between_stage_ns	A1	7	128	16	50.703125
stage-followup	paced50	between_stage_ns	A1	8	128	16	63.5625
stage-followup	paced50	between_stage_ns	A1	9	128	16	49.9765625
stage-followup	paced50	between_stage_ns	B1	1	128	16	50.4375
stage-followup	paced50	between_stage_ns	B1	2	128	16	50.359375
stage-followup	paced50	between_stage_ns	B1	3	128	16	50.03125
stage-followup	paced50	between_stage_ns	B1	4	128	16	53.515625
stage-followup	paced50	between_stage_ns	B1	5	128	16	52.5546875
stage-followup	paced50	between_stage_ns	B1	6	128	16	51.578125
stage-followup	paced50	between_stage_ns	B1	7	128	16	62.921875
stage-followup	paced50	between_stage_ns	B1	8	128	16	52.2109375
stage-followup	paced50	between_stage_ns	B1	9	128	16	52.703125
stage-followup	paced50	between_stage_ns	B2	1	128	16	50.328125
stage-followup	paced50	between_stage_ns	B2	2	128	16	49.140625
stage-followup	paced50	between_stage_ns	B2	3	128	16	50.5078125
stage-followup	paced50	between_stage_ns	B2	4	128	16	49.40625
stage-followup	paced50	between_stage_ns	B2	5	128	16	49.6171875
stage-followup	paced50	between_stage_ns	B2	6	128	16	51.234375
stage-followup	paced50	between_stage_ns	B2	7	128	16	48.578125
stage-followup	paced50	between_stage_ns	B2	8	128	16	50.1875
stage-followup	paced50	between_stage_ns	B2	9	128	16	49.890625
stage-followup	paced50	between_stage_ns	A2	1	128	16	51.90625
stage-followup	paced50	between_stage_ns	A2	2	128	16	49.7421875
stage-followup	paced50	between_stage_ns	A2	3	128	16	49.859375
stage-followup	paced50	between_stage_ns	A2	4	128	16	64.5859375
stage-followup	paced50	between_stage_ns	A2	5	128	16	50.1484375
stage-followup	paced50	between_stage_ns	A2	6	128	16	47.7421875
stage-followup	paced50	between_stage_ns	A2	7	128	16	51.1875
stage-followup	paced50	between_stage_ns	A2	8	128	16	64.0390625
stage-followup	paced50	between_stage_ns	A2	9	128	16	50.2109375
