experiment	case	metric	point	sample	operations	warmups	mean_ns
stage-followup	continuous	mkdir_ns	B2	7	128	16	19072.390625
stage-followup	continuous	mkdir_ns	B2	8	128	16	19139.59375
stage-followup	continuous	mkdir_ns	B2	9	128	16	19170.296875
stage-followup	continuous	mkdir_ns	A2	1	128	16	22485.9765625
stage-followup	continuous	mkdir_ns	A2	2	128	16	21410.15625
stage-followup	continuous	mkdir_ns	A2	3	128	16	19022.2265625
stage-followup	continuous	mkdir_ns	A2	4	128	16	19001.53125
stage-followup	continuous	mkdir_ns	A2	5	128	16	18312.65625
stage-followup	continuous	mkdir_ns	A2	6	128	16	18284.796875
stage-followup	continuous	mkdir_ns	A2	7	128	16	18260.59375
stage-followup	continuous	mkdir_ns	A2	8	128	16	18438.8671875
stage-followup	continuous	mkdir_ns	A2	9	128	16	18277.2890625
stage-followup	continuous	stat_ns	A1	1	128	16	1787.1171875
stage-followup	continuous	stat_ns	A1	2	128	16	1817.25
stage-followup	continuous	stat_ns	A1	3	128	16	1724.0859375
stage-followup	continuous	stat_ns	A1	4	128	16	1787.0234375
stage-followup	continuous	stat_ns	A1	5	128	16	1754.8359375
stage-followup	continuous	stat_ns	A1	6	128	16	1775.1640625
stage-followup	continuous	stat_ns	A1	7	128	16	1801.1328125
stage-followup	continuous	stat_ns	A1	8	128	16	1815.84375
stage-followup	continuous	stat_ns	A1	9	128	16	1811.5078125
stage-followup	continuous	stat_ns	B1	1	128	16	2003.203125
stage-followup	continuous	stat_ns	B1	2	128	16	1802.921875
stage-followup	continuous	stat_ns	B1	3	128	16	1787.4453125
stage-followup	continuous	stat_ns	B1	4	128	16	1756.4765625
stage-followup	continuous	stat_ns	B1	5	128	16	1829.609375
stage-followup	continuous	stat_ns	B1	6	128	16	1859.3515625
stage-followup	continuous	stat_ns	B1	7	128	16	1790.375
stage-followup	continuous	stat_ns	B1	8	128	16	1811.9453125
stage-followup	continuous	stat_ns	B1	9	128	16	1787.96875
stage-followup	continuous	stat_ns	B2	1	128	16	1877.8984375
stage-followup	continuous	stat_ns	B2	2	128	16	1779.671875
stage-followup	continuous	stat_ns	B2	3	128	16	1799.5546875
stage-followup	continuous	stat_ns	B2	4	128	16	1767.140625
stage-followup	continuous	stat_ns	B2	5	128	16	1743.578125
stage-followup	continuous	stat_ns	B2	6	128	16	1776.4140625
stage-followup	continuous	stat_ns	B2	7	128	16	1790.203125
stage-followup	continuous	stat_ns	B2	8	128	16	1823.203125
stage-followup	continuous	stat_ns	B2	9	128	16	1799.109375
stage-followup	continuous	stat_ns	A2	1	128	16	1922.7421875
stage-followup	continuous	stat_ns	A2	2	128	16	1795.765625
stage-followup	continuous	stat_ns	A2	3	128	16	1785.4609375
stage-followup	continuous	stat_ns	A2	4	128	16	1778.0078125
stage-followup	continuous	stat_ns	A2	5	128	16	1795.875
stage-followup	continuous	stat_ns	A2	6	128	16	1821.4296875
stage-followup	continuous	stat_ns	A2	7	128	16	1786.65625
stage-followup	continuous	stat_ns	A2	8	128	16	1753.5859375
stage-followup	continuous	stat_ns	A2	9	128	16	1797.9765625
stage-followup	continuous	rmdir_ns	A1	1	128	16	9726.203125
